product-img-link href,cleanDesc,part-info,part-info 2,price,starting-at,short-description,short-description href 2,short-description 15
https://www.turnermotorsport.com/p-340134-e30-325iix-1987-92-turner-motorsport-conforti-performance-chip/,"E30 325i/ix 1987-92 Turner Motorsport Conforti Performance Chip
   ...",340134,E30325,$199.20,Starting at,"Need to breath more life into your engine? Add a Turner Performance Chip! These chips were tuned by Jim Conforti on the dyno to maximize the engine's efficiency when using 91 octane gasoline. The result is more horsepower and better torque - especially in the mid-range of the RPM band. The car really feels more alive!   Turner Performance Chips provide the ultimate in performance advantage! Adding a performance chip to your BMW is the easiest and most cost effective way of increasing BMW power, torque, and performance with NO DOWNSIDES. Through years of BMW performance tuning, we are able to maximize power and torque gains for 91 octane fuel used in North America. By making changes in the ignition and fuel maps of the DME we are able to optimize performance with no side effects or compromises. Other changes will make your BMW smoother and more responsive than when it left the factory. Our chips have a lifetime warranty and a 30-day satisfaction guarantee. If for any reason you are not fully satisfied with the increase in power and overall drivability you can return the chip to Turner Motorsport for a full refund. Chips are supplied with detailed instructions and are user-installed in about an hour. See below for specific information that we may need from your BMW model.           1987-1992    325i 325ic 325is 325ix",,
https://www.turnermotorsport.com/p-359446-e28-528e-e30-325e-turner-motorsport-conforti-performance-chip/,"E28 528e, E30 325e Turner Motorsport Conforti Performance Chip
    ...",359446,027-000,$159.20,,"The 2.7 liter inline-6 is a torquey car, however, performance drops off greatly after 4000 RPM. With a Turner Performance Chip power is boosted at all RPM but most importantly in the upper RPM. The car really feels more alive! This chip was tuned on the dyno to yield as much performance from this engine as possible and still maintain its strength and durability. Jim Conforti tuned the fuel and park maps to take advantage of 91 octane gasoline. By making the engine more efficient with this fuel, gains in horsepower and torque are achieved as well as making the engine run smoother.Turner Performance Chips provide the ultimate in performance advantage! Adding a performance chip to your BMW is the easiest and most cost effective way of increasing BMW power, torque, and performance with NO DOWNSIDES. Through years of BMW performance tuning, we are able to maximize power and torque gains for 91 octane fuel used in North America. By making changes in the ignition and fuel maps of the DME we are able to optimize performance with no side effects or compromises. Other changes will make your BMW smoother and more responsive than when it left the factory. Our chips have a lifetime warranty and a 30-day satisfaction guarantee. If for any reason you are not fully satisfied with the increase in power and overall drivability you can return the chip to Turner Motorsport for a full refund. Chips are supplied with detailed instructions and are user-installed in about an hour. See below for specific information that we may need from your BMW model.",,
https://www.turnermotorsport.com/p-359588-e30-318iis-1990-91-turner-motorsport-conforti-performance-chip/,"E30 318i,is 1990-91 Turner Motorsport Conforti Performance Chip
   ...",359588,175-300,$199.20,,Need to breath more life into your engine? Add a Turner Performance Chip! These chips were tuned by Jim Conforti on the dyno to maximize the engine's efficiency when using 91 octane gasoline. The result is more horsepower and better torque - especially in the mid-range of the RPM band. The car really feels more alive!,,
https://www.turnermotorsport.com/p-338691-e36-m3-1995-turner-motorsport-conforti-performance-chip/,E36 M3 1995 Turner Motorsport Conforti Performance Chip,338691,E36M3CHIPS,$199.20,Starting at,"The E36 M3 benefits greatly from a TMS Performance Chip. Although premium fuel is recommended by BMW, the car is not optimized for it. Significant horsepower and torque gains can be had by switching to a Turner Chip and using 91+ octane fuel. Tuned specially for the E36 M3 on the dyno with Bosch expert Jim Conforti, this chip provides a smooth power delivery from low RPM up all the way up to redline. Conforti achieved this by altering the fuel and spark maps along with the cam timing to take full advantage of premium fuel. The result is a big boost in power, more usable torque, and a smoother-running engine. The rev limit is raised and the top speed limiter is removed. There are NO downsides to installing a TMS Performance Chip; it is FREE, easy-to-install horsepower.Turner Performance Chips provide the ultimate in performance advantage! Adding a performance chip to your BMW is the easiest and most cost effective way of increasing BMW power, torque, and performance with NO DOWNSIDES. Through years of BMW performance tuning, we are able to maximize power and torque gains for 91 octane fuel used in North America. By making changes in the ignition and fuel maps of the DME we are able to optimize performance with no side effects or compromises. Other changes will make your BMW smoother and more responsive than when it left the factory. Our chips have a lifetime warranty and a 30-day satisfaction guarantee. If for any reason you are not fully satisfied with the increase in power and overall drivability you can return the chip to Turner Motorsport for a full refund. Chips are supplied with detailed instructions and are user-installed in about an hour. See below for specific information that we may need from your BMW model.You can also use this chip in E30 S50/S52 engine conversions but we recommend using it with  unless you have the speed sensor wired correctly from the dash to the ECU.",https://www.turnermotorsport.com/t-performance-chip-guide,
https://www.turnermotorsport.com/p-359479-e24-m6-e28-m5-turner-motorsport-conforti-performance-chip/,"E24 M6, E28 M5 Turner Motorsport Conforti Performance Chip
        ...",359479,079-000,$199.20,,"When the first M5 and M6 were brought to the U.S. they were de-tuned from their European brothers and sisters. That was a shame as the cars lost close to 40hp. But adding a Turner Performance Chip will get that lost horsepower back! Jim Conforti tuned these chips on the dyno to boost mid range torque and increase horsepower in the upper RPM range. As a result there is a 48 horsepower increase at 6000 RPM with a new rev limit of 7200 RPM! Conforti achieved this by tuning the car on the dyno, specifically changing the fuel and spark patterns in an effort to make the engine more efficient when burning 91+ octane fuel. Torque increases similarly in the heart of the powerband.Turner Performance Chips provide the ultimate in performance advantage! Adding a performance chip to your BMW is the easiest and most cost effective way of increasing BMW power, torque, and performance with NO DOWNSIDES. Through years of BMW performance tuning, we are able to maximize power and torque gains for 91 octane fuel used in North America. By making changes in the ignition and fuel maps of the DME we are able to optimize performance with no side effects or compromises. Other changes will make your BMW smoother and more responsive than when it left the factory. Our chips have a lifetime warranty and a 30-day satisfaction guarantee. If for any reason you are not fully satisfied with the increase in power and overall drivability you can return the chip to Turner Motorsport for a full refund. Chips are supplied with detailed instructions and are user-installed in about an hour.",,
https://www.turnermotorsport.com/p-359460-e30-m3-23l-turner-conforti-performance-chip/,E30 M3 2.3L Turner Conforti Performance Chip,359460,0710-3000,$199.20,,"Adding a TMS Performance Chip gives you the biggest bang for your buck! Jim Conforti tuned these chips on the dyno to boost mid range torque and increase horsepower in the upper RPM range. While not exactly producing V8-levels of torque you will definitely like the power increase across the rev band. The best thing is that there is NO downside to installing a Turner Performance Chip. urner Motorsport has been in the BMW chip business since 1995 and all chips have been dyno-tuned to achieve optimum performance and safety. As an added feature, the top speed limiter is removed. Premium 91+ octane fuel is required.",,
https://www.turnermotorsport.com/p-340148-e34-525i-91-95-turner-conforti-performance-chip/,E34 525i 91-95 Turner Conforti Performance Chip,340148,E34525,$199.20,Starting at,"Need to breath more life into your engine? Add a Turner Performance Chip! These chips were tuned by Jim Conforti on the dyno to maximize the engine's efficiency when using 91 octane gasoline. The result is more horsepower and better torque - especially in the mid-range of the RPM band. Just because your car is a heavy 5-series doesn't mean you can't make the car faster, more responsive, andsmoother-running. The car really feels more alive! There are several different chip options, please let us know if your car has any modifications.   Turner Performance Chips provide the ultimate in performance advantage! Adding a performance chip to your BMW is the easiest and most cost effective way of increasing BMW power, torque, and performance with NO DOWNSIDES. Through years of BMW performance tuning, we are able to maximize power and torque gains for 91 octane fuel used in North America. By making changes in the ignition and fuel maps of the DME we are able to optimize performance with no side effects or compromises. Other changes will make your BMW smoother and more responsive than when it left the factory. Our chips have a lifetime warranty and a 30-day satisfaction guarantee. If for any reason you are not fully satisfied with the increase in power and overall drivability you can return the chip to Turner Motorsport for a full refund. Chips are supplied with detailed instructions and are user-installed in about an hour.    See below for specific information that we may need from your BMW model.         1989-1990    525i (M20 engine)  1991-1992    525i (M50 non-VAN0S engine)  1993-1994    525i (M50TU VAN0S engine)  1995    525i (M50TU VAN0S engine with EWS)",https://1c2a8a2161d644d95009-22d26b38e78c173d82b3a9a01c774ffa.ssl.cf1.rackcdn.com/pages/chip_id_v8.htm,Click here for installation instructions.
https://www.turnermotorsport.com/p-340336-s52-obd-i-turner-conforti-performance-chip-for-215lb-injectors/,S50/S52 OBD-I Turner Conforti Performance Chip (for 21.5lb Injectors...,340336,M3-21LB-CHIP,$199.20,Starting at,"If you have an M3 engine and want to use the 21.5 lb/hr injectors (pink top, stock on the 2.8 M52 and 3.2 S52) we have the perfect chip for you. Instead of changing to the smaller 17lb injectors or upgrading to the full 24lb, you can use the injectors from the stock 3.2 M3. They are in-between 17lb and 24lb, allowing a little more fuel to compensate for intake and/or exhaust upgrades.Perfect for running headers with an intake! There are plenty of surplus 21.5lb injectors out there (we sometimes have them too, check out Used Parts section).It's usually not necessary to use bigger injectors but this gives you another option in your engine planning. This software covers almost all of the popular bolt-on upgrades, including the larger HFM (Euro or 540). Choose the mods/upgrades from the list below.Turner Performance Chips provide the ultimate in performance advantage! Adding a performance chip to your BMW is the easiest and most cost effective way of increasing BMW power, torque, and performance with NO DOWNSIDES. Through years of BMW performance tuning, we are able to maximize power and torque gains for 91 octane fuel used in North America. By making changes in the ignition and fuel maps of the DME we are able to optimize performance with no side effects or compromises. Other changes will make your BMW smoother and more responsive than when it left the factory. Our chips have a lifetime warranty and a 30-day satisfaction guarantee. If for any reason you are not fully satisfied with the increase in power and overall drivability you can return the chip to Turner Motorsport for a full refund. Chips are supplied with detailed instructions and are user-installed in about an hour. See below for specific information that we may need from your BMW model.Note: we will not be offering this software for use with cams. More aggressive camshafts require the use of the Bosch 24lb injectors. The 21.5lb injectors are maxed out when used with cams.",,
https://www.turnermotorsport.com/p-340149-e34-535i-turner-motorsport-conforti-performance-chip/,E34 535i Turner Motorsport Conforti Performance Chip,340149,E34535,$199.20,Starting at,"The 1989-93 535i is a powerful car, however, BMW didn�t spend any more time tuning the car than they had to. The Turner Performance Chip for this car was tuned on the dyno to yield as much performance from this engine as possible and still maintain its great reliability. Jim Conforti tuned the fuel and spark maps to take advantage of 91 octane gasoline. By making the engine more efficient with this fuel, gains in horsepower and torque are achieved as well as making the engine run smoother.   Turner Performance Chips provide the ultimate in performance advantage! Adding a performance chip to your BMW is the easiest and most cost effective way of increasing BMW power, torque, and performance with NO DOWNSIDES. Through years of BMW performance tuning, we are able to maximize power and torque gains for 91 octane fuel used in North America. By making changes in the ignition and fuel maps of the DME we are able to optimize performance with no side effects or compromises. Other changes will make your BMW smoother and more responsive than when it left the factory. Our chips have a lifetime warranty and a 30-day satisfaction guarantee. If for any reason you are not fully satisfied with the increase in power and overall drivability you can return the chip to Turner Motorsport for a full refund. Chips are supplied with detailed instructions and are user-installed in about an hour. See below for specific information that we may need from your BMW model.         1989-1993    535i",,
https://www.turnermotorsport.com/p-339967-e36-325i-1992-turner-motorsport-conforti-performance-chip/,E36 325i 1992 Turner Motorsport Conforti Performance Chip,339967,TMS4194,$199.20,Starting at,"A Turner Performance Chip for the 1992 E36 325i is an absolute MUST-HAVE performance upgrade. This chip was developed on the dyno to increase horsepower and torque from low RPM all the way up to the new 7000 RPM rev limit. Engine management expert Jim Conforti tuned the fuel and spark mapping to maximize output when used with 91+ octane fuel. More power, a smoother engine, and better response are the results. Bang for the buck, this is hands-down the best upgrade to do. The rev limiter is raised to 7000 RPM and the top speed limiter has been deleted.Turner Performance Chips provide the ultimate in performance advantage! Adding a performance chip to your BMW is the easiest and most cost effective way of increasing BMW power, torque, and performance with NO DOWNSIDES. Through years of BMW performance tuning, we are able to maximize power and torque gains for 91 octane fuel used in North America. By making changes in the ignition and fuel maps of the DME we are able to optimize performance with no side effects or compromises. Other changes will make your BMW smoother and more responsive than when it left the factory. Our chips have a lifetime warranty and a 30-day satisfaction guarantee. If for any reason you are not fully satisfied with the increase in power and overall drivability you can return the chip to Turner Motorsport for a full refund. Chips are supplied with detailed instructions and are user-installed in about an hour. See below for specific information that we may need from your BMW model.",,
