product-img-link href,cleanDesc,part-info,part-info 2,price,starting-at,short-description,short-description href 2,short-description 15,short-description 16,short-description 17,short-description 18,short-description 19,short-description 20,short-description 21
https://www.turnermotorsport.com/p-568291-turner-motorsport-n55-performance-software/,Turner Motorsport N55 Performance Software - F10 F22 F30 F32 F33 M23...,568291,TN55,$661.46,Starting at,"MORE POWER, BETTER DRIVEABILITY!",,,,,,,,
https://www.turnermotorsport.com/p-340457-turner-performance-software-for-e9x-325i/,Turner Performance Software for E9X 325i,340457,TN52-ST1,$396.71,Starting at,Max HP gain up to = Max Trq gain up to = Rev Limit = 7000 RPM,https://1c2a8a2161d644d95009-22d26b38e78c173d82b3a9a01c774ffa.ssl.cf1.rackcdn.com/pages/Instructions/E90_N52_DME_shipping.pdf,2006  325i 325xi2006  325i 325xi,This item fits the following BMWs:,E90 BMW,E91 BMW,,,
https://www.turnermotorsport.com/p-340105-turner-performance-software-for-e9x-328i/,Turner Performance Software for E9X 328i,340105,AN52NM1-328,$633.34,Starting at,Max HP gain up to  = Max Trq gain up to = Rev Limit = 7000 RPM,https://1c2a8a2161d644d95009-22d26b38e78c173d82b3a9a01c774ffa.ssl.cf1.rackcdn.com/pages/Instructions/E90_N52_DME_shipping.pdf,This item fits the following BMWs:,E90 BMW,E91 BMW,E92 BMW,E93 BMW,,
https://www.turnermotorsport.com/p-558268-turner-motorsport-n20-performance-software/,Turner Motorsport N20 Performance Software - F22/F30 228 328 428 528...,558268,TN20,$480.71,Starting at,Max HP gain up to = Max Trq gain up to =,https://www.turnermotorsport.com/p-557526-turner-f3xf2x-234-series-n55n20-stepped-intercooler/,Wagner downpipe,Supersprint muffler,"Our N20 tunes all also remove the factory speed limiter. All three stages are designed to accommodate either 91 or 93 octane fuel - your car will compensate for lower octane, and will make more power with 93. Install more go-fast parts in the future? Give us a call - we can offer upgraded tune files to existing customers for a nominal charge. Starting from scratch and looking to upgrade as a single package?",Click here.,"Following shop, road, and track testing, a team of local N20 owners ran their variety of cars through the gamut of hard street miles. Here's some of the unsolicited feedback we received:",What are people saying?,""""""
https://www.turnermotorsport.com/p-340282-turner-stage-1-performance-software-for-e9x-m3/,Turner Stage 1 Performance Software for E9X M3 S65,340282,TMS1974,$674.96,Starting at,"Adding performance to your M3's V8 is as easy as a flash! Where we can make our software better is by tuning it for higher octane gasoline. The stock software is tuned around the 87 octane available in the US (not that most people would use 87 but BMW engineers must account for that possibility). With our software, the performance of the S65 engine is optimized for the higher 91 or 93 octane. We tune many areas of the engine programming - fuel and timing maps at part throttle and wide-open throttle, revised torque settings and knock control, and more. The throttle response is also improved (quicker and smoother) eliminating unwanted and dangerous flat spots in the factory pedal response. We also offer raised rev limits and the top speed is raised/eliminated. Our software uses the factory 240E update as a base. The 240E has several major enhancements over previous factory file versions. No worry if you don't have 240E - we will provide you with a free update before the Turner performance software is installed. If you have other modifications done to your M3, we can supply you with specially-developed software to maximize the gains from those upgrades.Turner Motorsport has been developing software on the S65 since our first car in 2008. Since then we have done software projects for street, track, full-race, stroker, and supercharged engine builds using the stock MSS60 DME or a stand-alone Bosch or Motec system. Engine tunes have been developed and checked on our Dynapack chassis dyno and further refined with real world testing. Our software is installed via the Turner flashing OBD tool. This tool plugs into the OBD socket in the dash and the performance software is installed from a laptop computer connected to the tool. It also works as a fault code scanner to read and reset diagnostic trouble codes and reset adaptations. The software program requires a Windows XP/Vista/7/8/10 laptop and the installation and setup are very easy . The OBD tool, cable, and files are shipped to you with simple setup instructions. There is no need to remove your ECU and ship it. You can have your M3 flashed in under an hour from the convenience of your garage or driveway!",,2008-2011  M3 - Sedan2008-2013  M3 - Coupe2008-2013  M3 - Convertible,240E Update,This item fits the following BMWs:,E90 BMW,E92 BMW,E93 BMW,
https://www.turnermotorsport.com/p-555333-turner-performance-software-for-e60-550i/,"Turner Performance Software For E60 E63 E65 550i 650i 750i
        ...",555333,TN62-550,$633.34,Starting at,"Max HP gain = Max Trq gain = Our software fully maximizes the N62 engine in the 550i and 650i. Our software has been carefully developed on the dyno and the road to provide optimal power and torque gains at all RPM. We change the fuel, Valvetronic, and VANOS maps as well as revise the factory torque limiters. We have paid particular attention to increasing low and mid-range torque. The throttle response is also improved (quicker) eliminating unwanted and dangerous flat spots in the pedal response.",,,,,,,,
https://www.turnermotorsport.com/p-391211-e90-325i-n52-turner-stage-2-performance-software/,E90 325i N52 Turner Stage 2 Performance Software,391211,TN52-325-ST2,$396.72,Starting at,"Our Stage 2 software takes full advantage of the 3-stage 330 intake manifold on the N52 engine. We take our base Stage 1 software file and tune it for the improved flow coming through the 'High Output' 330 intake manifold. The 330 manifold is one of the best power enhancements you can do on the N52 engines and proper tuning is a must to get the most from it. We modify the factory maps for fuel, ignition, and camshaft timing to maximize the 330 intake manifold upgrade. Additional tuning is done to the pedal input, throttle response, and torque limiters for a better torque band and smoother power delivery. You can use the car with the 330 manifold installed and the stock software but the original software will not be optimized for the new manifold. We can also tune for Cold Air Intake (including BMW Euro intake) as well as sport exhausts.",https://1c2a8a2161d644d95009-22d26b38e78c173d82b3a9a01c774ffa.ssl.cf1.rackcdn.com/pages/Instructions/E90_N52_DME_shipping.pdf,,,,,,,
https://www.turnermotorsport.com/p-555183-turner-n52-performance-software/,Turner N52 Performance Software,555183,AN52NM1-330,$633.34,Starting at,"Reliability and low cost of ownership are two great reasons to own a 330i over its higher-powered siblings - the 335i and M3; although no slouch, power is not one the N52's strong suits. How about changing that?",,"Mapping for fuel, ignition, VANOS, camshaft timing for improved power and torque, with special attention paid to low end torque. This results in a more real-world useable powerband that is more enjoyable in traffic.","Mapping for pedal input, throttle response, and torque limiters. This results in crisper engine feedback from hitting the gas, and smoother power delivery.",,"Mail in your ECU. We will contact you with instructions on removing your car's ECU and a Next Day Air shipping label to minimize downtime. One day transit time to us, one day to tune your ECU, one day transit back to you - expect three days downtime.","Tune it yourself - at home. We will mail you easy instructions and a Turner Flash DIY tuning tool that will allow you to plug your car into your Windows laptop to tune your car. You email in your stock file, and a tuned file is emailed back to you - no downtime.",,
https://www.turnermotorsport.com/p-340099-turner-performance-software-for-e82-128i-sulev/,Turner Performance Software for E82 128i (SULEV),340099,TN51-128,$633.34,Starting at,"Max HP gain up to = Max Trq gain up to = Rev Limit = 7000 RPMOur software fully maximizes the N51 engine in the 128i while in SULEV spec (Super Ultra Low Emission Vehicle). The stock BMW software is hampered by settings for 87 octane fuel. By re-mapping the engine programming for 91 octane, we can make more power, torque, and improve fuel mileage - all without harm to the engine or affecting driveability. We have paid particular attention to increasing low and mid-range torque. The throttle response is also improved (quicker) eliminating unwanted and dangerous flat spots in the pedal response.This software file is for the N51 engine SULEV model only. SULEV is a specification used in some parts of the US where emissions compliance is critical (mostly in California, the Northwest, and the Northeast). The computer and engine specs are different than the 'regular' 128i N52 engine. You can tell if yours is the SULEV spec by its black valve cover. The regular N52 engines use a silver valve cover.",https://1c2a8a2161d644d95009-22d26b38e78c173d82b3a9a01c774ffa.ssl.cf1.rackcdn.com/pages/Instructions/E90_N52_DME_shipping.pdf,This item fits the following BMWs:,E82 BMW,,,,,
https://www.turnermotorsport.com/p-555368-turner-performance-software-for-e53-48is-04-06/,Turner Performance Software For E53 X5 4.8is (04-06)/E70 X5 4.8i (07...,555368,TN62-X5-4.8,$633.34,Starting at,"Max HP gain up to = Max Trq gain up to = Our software fully maximizes the N62 engine in the X5 4.8is. Our software has been carefully developed on the dyno and the road to provide optimal power and torque gains at all RPM. We change the fuel, Valvetronic, and VANOS maps as well as revise the factory torque limiters. We have paid particular attention to increasing low and mid-range torque. The throttle response is also improved (quicker) eliminating unwanted and dangerous flat spots in the pedal response.",,,,,,,,
