product-img-link href,cleanDesc,part-info 2,stock-status,price,btn,wishlist-label href,short-description,pricecut
https://www.turnermotorsport.com/p-304114-black-10mm-5120-tms-spacers-with-hubcentric-lip-pair-fits-all-5-lug-bmws-except-e39-requires-longer-bolts/,Turner Black BMW 10mm Wheel Spacers (Pair) - Most BMWs (see applicat...,TWH9905010BLACK,In Stock,$149.95,Add to Cart,https://www.turnermotorsport.com/c-790-bmw-wheel-spacers#,"10MM (.39 inch) Wheel Spacer for BMW E24, E28, E30 M3, E31, E32, E34, E36, E38, E46, E60, E63, E82, E83, E87, E90, E91, E92, E93 (E9X), Z3, Z4",
https://www.turnermotorsport.com/p-210-turner-motorsport-front-hub-extenders-pair/,Turner Motorsport Front Hub Extenders (Pair),TWH9905001,In Stock,$57.56,Add to Cart,https://www.turnermotorsport.com/c-790-bmw-wheel-spacers#,"Hub Extenders are the solution that no one else has! BMW wheels must fit on a hubcentric lip to be securely (and safely) mounted to the hub. But with a 3, 5, 8, or some 10mm spacers on a lip measuring no more than 11mm that presented a huge problem - there would be no lip left over for the wheel to rest on! As one of the world's leading BMW tuners and race teams, we came up with a way to extend the lip and get back the lost surface area for the wheel to safely mount on. Our Hub Extenders are the first of their kind.Hub Extenders fit where the stock dust cap is usually fitted on the front wheel hub. Pop out the dust cap and tap the Hub Extender into its place. It becomes an extension of the original lip. These will only work on the front hubs of the cars listed below because the rear hub is tapered inside (narrows down). These will not work with Xi AWD models because the front axle shaft protrudes through the hub. With Hub Extenders in place you can use nearly any flat wheel spacer - 3mm, 5mm, 7.5mm, 10mm, or possibly more without worrying that the wheel will not be securely seated. This is perfect for wheels that have chamfers on the back of the wheel that don't match up to existing spacers (Kosei K1 spacers for example).",$63.95
https://www.turnermotorsport.com/p-120-turner-bmw-125mm-wheel-spacers-pair-most-bmws-see-applications/,Turner Silver BMW 12.5mm Wheel Spacers (Pair) - Most BMWs (see appli...,TWH9905013,In Stock,$104.95,Add to Cart,https://www.turnermotorsport.com/c-790-bmw-wheel-spacers#,"Our 12.5mm wheel spacers are lightweight, featuring a durable coating and quick release pockets for easy removal. Longer wheel bolts are required!",
https://www.turnermotorsport.com/p-304111-black-3mm-5120-tms-wheel-spacers-pair-150mm-od/,"Turner Black BMW 3mm Wheel Spacers (Pair) - E24,E28,E30 M3,E31,E32,E...",TWH9905004BLACK,In Stock,$90.20,Add to Cart,https://www.turnermotorsport.com/c-790-bmw-wheel-spacers#,"Our 3mm wheel spacers are lightweight, featuring a durable coating and quick release pockets for easy removal. Longer wheel bolts are required!",$94.95
https://www.turnermotorsport.com/p-587090-15mm-wheel-spacers-silver-pair-scratch-and-dent/,15mm Wheel Spacers - Silver (Pair) *Scratch And Dent*,TWH9905015SD1,In Stock,$90.20,Add to Cart,https://www.turnermotorsport.com/c-790-bmw-wheel-spacers#,Lightweight wheel spacers with a machined tab for easy removal - Save on a set of dimensionally correct Turner wheel spacers that don't meet color and finish spec!,$94.95
https://www.turnermotorsport.com/p-2023-turner-bmw-5mm-wheel-spacers-pair-most-bmws-see-applications/,"Turner BMW 5mm Wheel Spacers (Pair) - Most BMWs (see applications)
...",TWH9905005,In Stock,$94.95,Add to Cart,https://www.turnermotorsport.com/c-790-bmw-wheel-spacers#,"(.20 inch) Wheel Spacer for BMW E24, E28, E30 M3, E31, E32, E34, E36, E38, E46, E60, E63, E82, E83, E87, E90, E91, E92, E93 (E9X), Z3, Z4   Wheel spacers are the ideal solution to resolve a number of fitment and aesthetic problems. A spacer fits between the wheel and the hub assembly. The wheel will be pushed further outboard by the thickness of the spacer. Spacers allow you to correct wheel offset issues when the wheel is too 'tucked in' to the bodywork, clear the wheel from contact with the suspension or inner bodywork, clear larger brakes, improve handling and stability by increasing track width, or simply to get the right look and stance. Our wheel spacers are compatible with almost any type of BMW wheel and are a direct fit to the wheel hub (see below for any fitment notes). Longer wheel bolts or wheel studs are required.   These latest generation of the Turner Motorsport Wheel Spacers represent a total redesign of the wheel spacer concept - a ground-up, clean sheet design based on our years of BMW service and motorsports. We took everything we have learned from our service technicians, customers, and race team crew and built the spacer to beat all spacers. We've been in the BMW wheel spacer business probably longer than anybody and when it came time to make our own spacers, a basic spacer design just wouldn't do. We had to make a spacer that is    (for lower unsprung mass), has a tough and    to last through our New England winters, is    (your mechanic will thank you), and is precisely engineered and manufactured for    on the hub and in the wheel. You won't find a better engineered wheel spacer on the market!              a 5mm spacer sits on the existing hub lip but leaves less than 5mm of lip for the wheel to rest on. Therefore, wheels that have    will not engage the hub lip and may reseult in a vibration.",
https://www.turnermotorsport.com/p-304133-tms304133/,"Turner Black BMW 7.5mm Big Pad Wheel Spacers - (Pair) - E24, E28, E3...",TWHF9905F03BLACK,In Stock,$114.36,Add to Cart,https://www.turnermotorsport.com/c-790-bmw-wheel-spacers#,"Our 7.5mm wheel spacers are lightweight, featuring a durable coating and quick release pockets for easy removal. Longer wheel bolts are included in this kit!",$142.95
https://www.turnermotorsport.com/p-211225-turner-bmw-10mm-wheel-spacers-with-integrated-hub-extender-f80-m3-f82-m4/,Turner Silver BMW 10mm Wheel Spacers with Integrated Hub Extender - ...,TWHF8005J10,In Stock,$127.99,Add to Cart,https://www.turnermotorsport.com/c-790-bmw-wheel-spacers#,"Our 10mm wheel spacers are lightweight, featuring a durable coating and quick release pockets for easy removal. Features integrated hub extender specifically for F8x M cars! Longer wheel bolts are required!",$131.95
https://www.turnermotorsport.com/p-304108-turner-motorsport/,"Turner Silver BMW 7.5mm Front Wheel Spacer Kit - E24, E28, E30 M3, E...",TWH9905003,In Stock,$104.95,Add to Cart,https://www.turnermotorsport.com/c-790-bmw-wheel-spacers#,"Our 7.5mm wheel spacers are lightweight, featuring a durable coating and quick release pockets for easy removal. Longer wheel bolts are included in this kit!",
https://www.turnermotorsport.com/p-304118-black-15mm-5120-tms-spacer-pair-fits-all-5-lug-bmws-except-e39-requires-longer-bolts/,Turner Black BMW 15mm Wheel Spacers (Pair) - Most BMWs (see applicat...,TWH9905015BLACK,In Stock,$127.99,Add to Cart,https://www.turnermotorsport.com/c-790-bmw-wheel-spacers#,"(.59 inch) Wheel Spacer for ""Big Pad"" BMW wheels (E36, E38, E46, E60, E63, E82, E83, E87, E90, E91, E92, E93 (E9X), Z3, Z4)   These are our Big Pad wheel spacers designed for the latest generation of factory BMW wheels. The ""wheel pad"" is the back of the wheel that mounts to the hub on the car. Since the early 2000s the factory BMW wheel pad diameter has grown - 150mm, 152mm, 154mm, and now 156mm. Most of the wheel spacers on the market are 152mm. The difference from using the smaller spacer on a large pad will leave an unsightly step down between the back of the wheel and the brake rotor hat (see image). To fix this visual defect we use a larger diameter spacer - the Big Pad. This will have less of a step, or no step at all, when used with the larger pad size. Note that nearly all aftermarket wheel manufacturers use the smaller pad size (mainly to reduce unsprung weight). For more information on wheel pad sizes and their effects on fitment and strength, click to our   .   Wheel spacers are the ideal solution to resolve a number of fitment and aesthetic problems. A spacer fits between the wheel and the hub assembly. The wheel will be pushed further outboard by the thickness of the spacer. Spacers allow you to correct wheel offset issues when the wheel is too 'tucked in' to the bodywork, clear the wheel from contact with the suspension or inner bodywork, clear larger brakes, improve handling and stability by increasing track width, or simply to get the right look and stance. Our wheel spacers are compatible with almost any type of BMW wheel and are a direct fit to the wheel hub (see below for any fitment notes). Longer wheel bolts or wheel studs are required.   These latest generation of the Turner Motorsport Wheel Spacers represent a total redesign of the wheel spacer concept - a ground-up, clean sheet design based on our years of BMW service and motorsports. We took everything we have learned from our service technicians, customers, and race team crew and built the spacer to beat all spacers. We've been in the BMW wheel spacer business probably longer than anybody and when it came time to make our own spacers, a basic spacer design just wouldn't do. We had to make a spacer that is    (for lower unsprung mass), has a tough and    to last through our New England winters, is    (your mechanic will thank you), and is precisely engineered and manufactured for    on the hub and in the wheel. You won't find a better engineered wheel spacer on the market!",$131.95
