product-img-link href,cleanDesc,brand-image src,part-info,part-info 2,price,wishlist-label href,short-description
https://www.turnermotorsport.com/p-369001-exact-fit-stainless-steel-brake-lines-kit/,ECS Tuning Exact-Fit Stainless Steel Brake Lines (Full Kit) - E82/88...,https://c1521972.ssl.cf0.rackcdn.com/img/brands/ECS.gif,369001,E9X34KT,$149.10,https://www.turnermotorsport.com/c-643-bmw-brake-lines#,"ECS Exact-Fit stainless reinforced brake lines ensure consistent and reliable stopping power - ECS's stainless steel lines help maintain consistent brake pressure, while capitalizing on the inherent benefits of stainless steel. If you are already planning on replacing your factory lines due to your vehicle's age, ECS's stainless steel brake lines are a great solution. Factory rubber lines expand under heavy braking, even when new. This causes sloppy pedal feel and overall poor performance. ECS reinforces their exact fit lines with braided stainless steel mesh, creating expansion resistance - this enhances pedal feel and improves performance. Their red polymer coating provides protection from the elements and abrasion that commonly affect brake lines. ECS Exact-Fit stainless lines are manufactured to comply with DOT (U.S. Department of Transportation) FMVSS 106 standards. All lines are made on dedicated, DOT-compliant brake equipment, with every line being tested to 3000 psi prior to shipment."
https://www.turnermotorsport.com/p-593618-turner-motorsport-stainless-steel-brake-lines-mid/,Turner Motorsport Stainless Steel Brake Lines - Mid,https://c1521972.ssl.cf0.rackcdn.com/img/brands/Turner%20Motorsport.gif,593618,022751TMS05KT,$54.36,https://www.turnermotorsport.com/c-643-bmw-brake-lines#,"Turner has developed a proprietary zinc-nickel coating finish with nearly twice the salt-spray corrosion resistance of a standard plating. Turner SS brake lines also feature new low profile connecting hardware, for a cleaner mounted look. Get the brake lines that will continue to look as good as they feel!"
https://www.turnermotorsport.com/p-201490-f22-f30f31f32f33f34f36-stainless-steel-brake-line-set/,"Stoptech Stainless Steel Brake Line Set - F22, F30/F31/F32/F33/F34/F...",https://c1521972.ssl.cf0.rackcdn.com/img/brands/StopTech.gif,201490,PLBF30F32,$109.90,https://www.turnermotorsport.com/c-643-bmw-brake-lines#,"These braided stainless brake steel lines improve the performance and safety of your BMW's braking system. They are DOT approved, and coated to protect the braided stainless steel from abrasion or road-related damage and offer tremendous quality at a phenomenal price."
https://www.turnermotorsport.com/p-583481-turner-motorsport-stainless-steel-brake-lines-complete-kit/,"Turner Motorsport Stainless Steel Brake Lines - Complete Kit - E30 
...",https://c1521972.ssl.cf0.rackcdn.com/img/brands/Turner%20Motorsport.gif,583481,022745TMS09,$143.61,https://www.turnermotorsport.com/c-643-bmw-brake-lines#,"Turner has developed a proprietary zinc-nickel coating finish with nearly twice the salt-spray corrosion resistance of a standard plating. Turner SS brake lines also feature new low profile connecting hardware, for a cleaner mounted look. Get the brake lines that will continue to look as good as they feel!"
https://www.turnermotorsport.com/p-583486-turner-motorsport-stainless-steel-brake-lines-complete-kit/,Turner Motorsport Stainless Steel Brake Lines - Complete Kit - F2x/F...,https://c1521972.ssl.cf0.rackcdn.com/img/brands/Turner%20Motorsport.gif,583486,022760TMS09,$153.81,https://www.turnermotorsport.com/c-643-bmw-brake-lines#,"Turner has developed a proprietary zinc-nickel coating finish with nearly twice the salt-spray corrosion resistance of a standard coating. Turner SS brake lines also feature new low profile connecting hardware, for a cleaner mounted look. Get the brake lines that will continue to look as good as they feel!"
https://www.turnermotorsport.com/p-583488-turner-motorsport-stainless-steel-brake-lines-complete-kit/,Turner Motorsport Stainless Steel Brake Lines - Complete Kit - F80/F...,https://c1521972.ssl.cf0.rackcdn.com/img/brands/Turner%20Motorsport.gif,583488,022761TMS09,$145.71,https://www.turnermotorsport.com/c-643-bmw-brake-lines#,"Factory rubber brake lines can expand under pressure, requiring more fluid volume and more pedal travel for the desired stopping force. What is often thought to be brake fade or fluid boiling, can actually be the brake lines expanding under pressure. This expansion is even more prominent in aged and weathered rubber hoses. Turner Motorsport Stainless Steel brake lines are engineered and assembled with braided stainless steel mesh and offer superior expansion resistance and reinforcement. The resistance to expansion creates a firmer pedal, and a more direct pedal feel. The signature blue polymer coating provides additional protection from the elements and abrasion, which is common with the constant movement of suspension and braking systems."
https://www.turnermotorsport.com/p-583494-turner-motorsport-stainless-steel-brake-lines-complete-kit/,"E46 M3 Turner Motorsport Stainless Steel Brake Lines - Complete Kit
...",https://c1521972.ssl.cf0.rackcdn.com/img/brands/Turner%20Motorsport.gif,583494,022752TMS11,$156.51,https://www.turnermotorsport.com/c-643-bmw-brake-lines#,"Turner has developed a proprietary zinc-nickel coating finish with nearly twice the salt-spray corrosion resistance of a standard plating. Turner SS brake lines also feature new low profile connecting fittings, for a cleaner mounted look. Get the brake lines that will continue to look as good as they feel!"
https://www.turnermotorsport.com/p-583496-turner-motorsport-stainless-steel-brake-lines-complete-kit/,Turner Motorsport Stainless Steel Brake Lines - Complete Front &...,https://c1521972.ssl.cf0.rackcdn.com/img/brands/Turner%20Motorsport.gif,583496,028598TMS10,$125.52,https://www.turnermotorsport.com/c-643-bmw-brake-lines#,"Turner has developed a proprietary new zinc-nickel coating finish with nearly twice the salt-spray corrosion resistance of a standard plating. Turner SS brake lines also feature new low profile connecting hardware, for a cleaner mounted look. Get the brake lines that will continue to look as good as they feel!"
https://www.turnermotorsport.com/p-583493-turner-motorsport-stainless-steel-brake-lines-complete-kit/,"Turner Motorsport Stainless Steel Brake Lines - Complete Kit
      ...",https://c1521972.ssl.cf0.rackcdn.com/img/brands/Turner%20Motorsport.gif,583493,022752TMS10,$156.51,https://www.turnermotorsport.com/c-643-bmw-brake-lines#,"Turner has developed a new superior zinc-nickel coating finish with nearly twice the salt-spray corrosion resistance of a standard plating. Turner SS brake lines also feature new low profile connecting hardware, for a cleaner mounted look. Get the brake lines that will continue to look as good as they feel!"
https://www.turnermotorsport.com/p-369000-exact-fit-stainless-steel-brake-lines-kit/,ECS Tuning Exact-Fit Stainless Steel Brake Lines (Full Kit) - E39 BM...,https://c1521972.ssl.cf0.rackcdn.com/img/brands/ECS.gif,369000,E393430KIT,$127.75,https://www.turnermotorsport.com/c-643-bmw-brake-lines#,"ECS Exact-Fit stainless reinforced brake lines ensure consistent and reliable stopping power - ECS's stainless steel lines help maintain consistent brake pressure, while capitalizing on the inherent benefits of stainless steel. If you are already planning on replacing your factory lines due to your vehicle's age, ECS's stainless steel brake lines are a great solution. Factory rubber lines expand under heavy braking, even when new. This causes sloppy pedal feel and overall poor performance. ECS reinforces their exact fit lines with braided stainless steel mesh, creating expansion resistance - this enhances pedal feel and improves performance. Their red polymer coating provides protection from the elements and abrasion that commonly affect brake lines. ECS Exact-Fit stainless lines are manufactured to comply with DOT (U.S. Department of Transportation) FMVSS 106 standards. All lines are made on dedicated, DOT-compliant brake equipment, with every line being tested to 3000 psi prior to shipment."
