product-img-link href,cleanDesc,part-info,part-info 2,price,short-description,short-description 15,short-description 16,short-description 17,short-description 19
https://www.turnermotorsport.com/p-377732-h8-led-angel-eye-bulb-set/,Ziza Performance H8 LED Angel Eye Bulb Set - E60/1 E9X E70/1 E82/88 ...,377732,003584ZIZ01A,$100.26,"Angel eyes are an important aspect in the styling of your BMW, giving it a unique and aggressive appearance. Unfortunately, they halogen bulbs used to illuminate the angel eye rings tend to fade over time, making the rings look dull and yellow. Ziza Performance LED bulbs are the perfect upgrade to not only increase the brightness by 3 times, but also give the rings a more crisp, white light and a longer life span. In addition, these bulbs will not give you a bulb out warning, a common problem with poor quality alternatives.",E82/88 BMW,E89 BMW,E63/4 BMW,**This non-DOT approved product is for Off-road/Track use only. Not approved for legal street use**
https://www.turnermotorsport.com/p-377481-led-angel-eye-bulb-set/,Ziza Performance LED Angel Eye Bulb Set - E60/1 E63/4 E65/6 E83 E53 ...,377481,003585ZIZ01A,$100.26,"Angel eyes are an important aspect in the styling of your BMW, giving it a unique and aggressive appearance. Unfortunately, the halogen bulbs used to illuminate the angel eye rings tend to fade over time, making the rings look dull and yellow. Ziza Performance LED bulbs are the perfect upgrade to not only increase the brightness by 3 times, but also give the rings a more crisp, white light and a longer life span. In addition, these bulbs will not give you a bulb out warning, a common problem with poor quality alternatives.",E53 BMW,E53 BMW,E39 BMW,**This non-DOT approved product is for Off-road/Track use only. Not approved for legal street use**
https://www.turnermotorsport.com/p-587914-lux-h8-189-angel-eyes/,"LUX H8 189 Angel Eyes - E60/3 LCI, E70, E71, E84, E89, E90 LCI, E92 ...",587914,H8-189,$199.00,"Pure white 7000K white light Equivalent to 189 watt halogen bulb Over 2x brighter than stock bulbs Guaranteed no dimming with all lighting modes No flickering on startup Self Check Sequence Fully Fused and No EMI LUX H8 189 angel eyes produce an incredible 3800 lumen of pure white 7000k light, the halogen equivalent of 189 watts! By comparison, the stock 35-watt halogen bulb receives only 80-90% power, and then drops to 50% power to reduce heat within the headlight housing when utilized with the headlights; thus causing stock the angel eyes to become even dimmer. The LUX H8 189 angel eyes have been designed to compensate for this dimming and always operate at full power, allowing them to be highly visible in virtually all the daytime conditions. When locking the car, the LUX will pulse off rather than fade. In addition, LUX LED bulbs use a fraction of the power of stocks, allowing them to run cooler and have a longer lifespan.",,,,
https://www.turnermotorsport.com/p-555100-light-bulb-for-angel-eyes-priced-each/,Light Bulb For Angel Eyes - Priced Each,555100,63117161444,$28.68,,,,,
https://www.turnermotorsport.com/p-5989-angel-eye-ring-bulb-e90-06-07-w-xenon-08-w-halogen/,"Angel Eye Ring Bulb - E90 06-07 w Xenon, 08+ w Halogen",5989,63117161444,$60.09,Burnt out Angel Eye making your BMW look like it has a black eye? This Genuine BMW replacement bulb will is just the part you need. NOTE- Only for genuine BMW or Hella Angel Eye Headlights. Will not work with other aftermarket lights. Note: We also offer upgraded brighter angel eye bulbs for many BMWs. The brand of light housing should be stamped into the plastic lens and/or the headlight housing. If you need the Valeo brand bulb please click,Only with Xenon Lights,E91 BMW,Only with Halogen Lights,
https://www.turnermotorsport.com/p-554048-lux-e90-v7-angel-eyes/,LUX V7 Angel Eyes - E90 E91 Pre-LCI,554048,LUXE90V7,$125.00,"The LUX E90 V7 lights outshine the dull stock bulbs drastically by creating 900 lumen per side, the halogen equivalent to 88 watts of power. The upgraded V7 lights also employ Cree’s latest SC5 platform release which allows for the significant increase in brightness over previous models. Key Features: Color Rating: 6500K 1800 total Lumen Equivalent to 88 watt halogen bulbs Over 4x brighter than stock bulbs Compact design",,,,
https://www.turnermotorsport.com/p-583595-lux-h8-v6-color-adjustable-angel-eyes/,LUX H8 V6 Color Adjustable Angel Eyes,583595,LUXH8V6,$199.00,,,,,
https://www.turnermotorsport.com/p-384441-lux-e90-lci-halogen-v2-angel-eyes/,LUX E90 LCI Halogen V2 Angel Eyes - E90 non-M LCI,384441,LUXE90LCIHAL,$125.00,"The E90 LCI Halogen V2s produce around 1800 lumen total, and are drastically brighter than the dull boring stock lights, which means add increased visibility to oncoming cars and pedestrians.  LUX E90 LCI Halogen V2s utilize the newest Cree LED’s on the market, and offer a color temperature around 5500K, making them 4x brighter than stock. They are also easily matched to other headlight bulbs to give your car a clean refreshed look.  LUX E90 LCI Halogen V2s were released in November as a successor to the original E90 LCI Halogen",,,,
https://www.turnermotorsport.com/p-638750-lux-e90-v8-angel-eyes/,LUX E90 V8 Angel Eyes,638750,LUXE90V8,$125.00,,,,,
https://www.turnermotorsport.com/p-146272-genuine-bmw-lighting-unit-light-rings-valeo-63112179077-e90/,"Genuine BMW Lighting Unit, Light Rings Valeo - 63112179077 - E90
  ...",146272,63112179077,$59.47,"Genuine BMW Lighting Unit, Light Rings - Valeo    E90",,,,
