product-img-link href,cleanDesc,part-info,part-info 2,price,starting-at,short-description,short-description 15,short-description 16,short-description 17,short-description href 2,short-description 18,short-description 19,short-description 20,short-description 21,short-description 22,short-description 23,short-description 24,colheading,colheading 2,colcontent,colheading 3,colcontent 2,colcontent 3,colcontent href,colcontent href 2,short-description 25,short-description 26,short-description href 3
https://www.turnermotorsport.com/p-338935-e46-330ixi-shark-injector-performance-software/,E46 330i/xi Shark Injector Performance Software,338935,TMS269,$279.20,Starting at,"Performance software is a      upgrade on your BMW and you won't find an easier and better software solution than the Shark Injector. Developed by BMW tuning expert Jim Conforti, this device plugs into the car's diagnostic port and flashes new performance files into your car's engine computer (ECU). There's no removal of the ECU and shipping, no cables, no laptop required - only a battery charger! Installation takes just a few minutes and your engine will perform like never before!     The M54 performance software was developed on the dyno to create maximum power and torque using premium 91+ octane fuel while maintaining BMW reliability and smoothness. The software makes changes to the ECU's maps and algorithms for fuel injection, ignition timing, VANOS and camshaft movement, and transitional fueling. A lot of tuning has been done at the low RPM ranges to improve response. We modify the maps for part throttle and full throttle so you get better response and more torque at all RPM. We also raise the rev limit to 7,000 and remove the top speed limiter. By fine tuning these maps we've been able to improve the M54/M56 engine beyond what BMW did by making more power and torque and a smoother-running engine.     The Shark Injector plugs into the diagnostic port inside the E46 cabin. With the battery charger supplying power, press the Upgrade button and within minutes the ECU is reflashed with the new performance tune. No other software product on the market comes close to how easy it is to install. You can use the Restore button to re-install the stock BMW software at any time. Detailed instructions are included. Other tuners require you to remove the ECU and ship it to them or use a laptop to read and write a new file. The Shark Injector is ready to install right out of the box! A planned future upgrade will allow you to use the USB port to load different performance files.                     2001-2006      330i 330ci 330xi",New Rev Limit,7000 RPM,2004-2006 E46 330i ZHP (M54 engine) Performance Software Peak Gains,https://1c2a8a2161d644d95009-22d26b38e78c173d82b3a9a01c774ffa.ssl.cf1.rackcdn.com/image/dyno/ZHP.pdf,330i ZHP dyno chart,HP Gain,+ 14 @ 6400 RPM,Torque Gain,+ 11 @ 4100 RPM,New Rev Limit,7000* RPM,E46 330i ZHP Rev Limits,(click to expand),There are multiple versions of stock ZHP software and BMW used different rev limits in some of them. A ZHP automatic will always have a lower rev limit than a manual in the interest of preserving the automatic transmission. Our engine software will alter the rev limit set in the ECU but other limits in the auto transmission programming will maintain the factory rev limit. Manual ZHPs have stock rev limits that vary - some are set as high as 6920 by the factory software. The Shark ZHP software sets all manual tranmission rev limits to 6920.,Read what others are saying!,"greekpsycho, : ""I sharked my 325 a few months ago and I noticed a huge difference. This REALLY brought out the best of my car.""TJ710, : ""just did this to my own stock 325i about 3 weeks ago and I definitely felt a difference and it put a smile on my face.""Dahmwern, : ""I'm definitely noticing a sweetly smooth power delivery, as well as a noticeable power increase in the low end as you being to accelerate (especially up moderate inclines). Note: This is NOT placebo effect. I drove the same route before and after to compare, and while its not perfectly scientific, it was quite obvious that there were some changes that took place - changes for the better. Like many mods, the car should have come this way!""Rob43, : ""besides the 7000rpm, removal of the top speed limiter, and very good(improved) throttle response, I got 6.5WHP on the dyno with my Shark injector. That’s worth $300 bucks in my book.""xixixi, : ""I got the shark for my 330xi, I love it. Shark > all. Why? It gives gains that other ""custom tunes,"" can't. What I liked the most about my shark is shift points. If you can shift decent, you can stay in the 5.5k+ range.""Douglas, : ""Just last week I had your Shark Injector installed in my 2001 330Ci. What a difference it makes! I already loved the car and it’s a great car to drive, but this takes it to a new level.""Steve : ""I bought the software and CAI by Jim C. Installed both at the same time and have put around 500 miles on over the last month. The car is amazing to drive, and the software seemed to make the power band a bit flatter, less of a dip and a bit better at the lower RPMS.""nleksan, : ""Ditch the Brand XXXXX software and switch it up for the newly-released Conforti Shark Injector for your car. It will give you a higher redline, no top-speed, more power, and much better throttle response, even over the Brand XXXXX.""3579az, : "" The throttle response problem has been solved. I can now perform perfect rev-matches with ease, unlike before. I've been heel-and-toe downshifting all day with a major success rate of perfect shifts, which is a LOT more than could be said compared to stock. I can now pull cleanly through the rev range without feeling any hesitation or dead spots. I have confirmed that the dead spot that was painfully obvious before the flashing… is gone.""pyreguy, : ""I have been VERY pleased with mine. The dead spot being irradiated was the best thing EVER.""Scott, : ""Very increased acceleration - especially from around 3,000 to 6,000. The car feels like a bullet! It is the same smooth kind of power too - just more of it, delivered continuously to the top rpm. So 3rd feels more like 2nd gear now! Throttle transitions are much more refined. So when in low gears, on and off throttle changes are very seamless and smooth (no jerking) - and the change has made shifting gears easier - especially first to second. So now my car is much more fun to drive and shows engine performance that is better matched to the incredible handling ability it has. I'm very pleased with this upgrade and can't thank you enough!!!",325i,https://1c2a8a2161d644d95009-22d26b38e78c173d82b3a9a01c774ffa.ssl.cf1.rackcdn.com/image/instructions/obd-shark-injector-instructions.pdf,https://1c2a8a2161d644d95009-22d26b38e78c173d82b3a9a01c774ffa.ssl.cf1.rackcdn.com/image/instructions/shark-injector-faq.pdf,This item fits the following BMWs:,E46 BMW,
https://www.turnermotorsport.com/p-387503-e46-325ixi-shark-injector-performance-software/,E46 325i/xi Shark Injector Performance Software,387503,E46-325-SHARK,$279.20,Starting at,"Performance software is a    upgrade on your BMW and you won't find an easier and better software solution than the Shark Injector. Developed by BMW tuning expert Jim Conforti, this device plugs into the car's diagnostic port and flashes new performance files into your car's engine computer (ECU). There's no removal of the ECU and shipping, no cables, no laptop required - only a battery charger! Installation takes just a few minutes and your engine will perform like never before!The M54 performance software was developed on the dyno to create maximum power and torque using premium 91+ octane fuel while maintaining BMW reliability and smoothness. The software makes changes to the ECU's maps and algorithms for fuel injection, ignition timing, VANOS and camshaft movement, and transitional fueling. A lot of tuning has been done at the low RPM ranges to improve response. We modify the maps for part throttle and full throttle so you get better response and more torque at all RPM. We also raise the rev limit to 7,000 and remove the top speed limiter. By fine tuning these maps we've been able to improve the M54/M56 engine beyond what BMW did by making more power and torque and a smoother-running engine.The Shark Injector plugs into the diagnostic port inside the E46 cabin. With the battery charger supplying power, press the Upgrade button and within minutes the ECU is reflashed with the new performance tune. No other software product on the market comes close to how easy it is to install. You can use the Restore button to re-install the stock BMW software at any time. Detailed instructions are included. Other tuners require you to remove the ECU and ship it to them or use a laptop to read and write a new file. The Shark Injector is ready to install right out of the box! A planned future upgrade will allow you to use the USB port to load different performance files.",(click to expand),"Many of the 325's produced for the US -- particularly in California, Massachusetts, and a few other states -- came with a different engine, the M56 which meets ""SULEV"" (Super Ultra Low Emission Vehicle) emissions classification. A visual inspection of your engine (as shown below) is the best way to determine if your 325 has the M56 SULEV engine.","Does your 325 have the M56 ""SULEV"" Engine?",https://1c2a8a2161d644d95009-22d26b38e78c173d82b3a9a01c774ffa.ssl.cf1.rackcdn.com/image/instructions/obd-shark-injector-instructions.pdf,Read what others are saying!,(click to expand),"greekpsycho, : ""I sharked my 325 a few months ago and I noticed a huge difference. This REALLY brought out the best of my car.""TJ710, : ""just did this to my own stock 325i about 3 weeks ago and I definitely felt a difference and it put a smile on my face.""Dahmwern, : ""I'm definitely noticing a sweetly smooth power delivery, as well as a noticeable power increase in the low end as you being to accelerate (especially up moderate inclines). Note: This is NOT placebo effect. I drove the same route before and after to compare, and while its not perfectly scientific, it was quite obvious that there were some changes that took place - changes for the better. Like many mods, the car should have come this way!""Rob43, : ""besides the 7000rpm, removal of the top speed limiter, and very good(improved) throttle response, I got 6.5WHP on the dyno with my Shark injector. That’s worth $300 bucks in my book.""xixixi, : ""I got the shark for my 330xi, I love it. Shark > all. Why? It gives gains that other ""custom tunes,"" can't. What I liked the most about my shark is shift points. If you can shift decent, you can stay in the 5.5k+ range.""Douglas, : ""Just last week I had your Shark Injector installed in my 2001 330Ci. What a difference it makes! I already loved the car and it’s a great car to drive, but this takes it to a new level.""Steve : ""I bought the software and CAI by Jim C. Installed both at the same time and have put around 500 miles on over the last month. The car is amazing to drive, and the software seemed to make the power band a bit flatter, less of a dip and a bit better at the lower RPMS.""nleksan, : ""Ditch the Brand XXXXX software and switch it up for the newly-released Conforti Shark Injector for your car. It will give you a higher redline, no top-speed, more power, and much better throttle response, even over the Brand XXXXX.""3579az, : "" The throttle response problem has been solved. I can now perform perfect rev-matches with ease, unlike before. I've been heel-and-toe downshifting all day with a major success rate of perfect shifts, which is a LOT more than could be said compared to stock. I can now pull cleanly through the rev range without feeling any hesitation or dead spots. I have confirmed that the dead spot that was painfully obvious before the flashing… is gone.""pyreguy, : ""I have been VERY pleased with mine. The dead spot being irradiated was the best thing EVER.""Scott, : ""Very increased acceleration - especially from around 3,000 to 6,000. The car feels like a bullet! It is the same smooth kind of power too - just more of it, delivered continuously to the top rpm. So 3rd feels more like 2nd gear now! Throttle transitions are much more refined. So when in low gears, on and off throttle changes are very seamless and smooth (no jerking) - and the change has made shifting gears easier - especially first to second. So now my car is much more fun to drive and shows engine performance that is better matched to the incredible handling ability it has. I'm very pleased with this upgrade and can't thank you enough!!!",325i,325i,325Ci,330i,,,,,,,,,330xi,330Ci,https://1c2a8a2161d644d95009-22d26b38e78c173d82b3a9a01c774ffa.ssl.cf1.rackcdn.com/image/instructions/shark-injector-faq.pdf
https://www.turnermotorsport.com/p-338928-e36-323328m3-shark-injector-stage-1-performance-software/,"E36 323/328/M3 Shark Injector Stage 1 Performance Software
        ...",338928,TMS3499,$279.20,Starting at,Unlock torque and horsepower,E36 M3 dyno chart,Torque Gain:,"New Rev Limit:7,000 RPM",https://1c2a8a2161d644d95009-22d26b38e78c173d82b3a9a01c774ffa.ssl.cf1.rackcdn.com/pages/shark_injector_installation_instructions_round_M20_July2012.pdf,Read what others are saying!,(click to expand),"Anonymous, 323is: ""I purchased my first Shark for my 1999 - 323is (e36). I installed it during work today and had a GREAT time driving home on I495. My wife actually had to call me to find out what was taking so long. She didn't know I was having the most fun I've had since I first purchased my BMW! I would definitely recommend this new product to all the 323is owners.""Gary, 328i: ""I own a 1997 328i and recently installed the Conforti Shark Injector and Intake Kit, as well as a Borla exhaust and a B & M sport shift kit. I am very impressed with the amount of performance I was able to gain.""Manny, E36 M3: ""Just ""sharked"" my E36 M3. All I can say is WOW. The car has never run so well. The idle and the engine overall is so smoooooth! The throttle is very responsive, power is right there. Very Nice! Never putting it back to stock! Just wanted to say job well done, and thanks.""Josh, E36 M3: ""Just got done putting on my Supersprint exhaust, Shark injector and my intake, wow what a difference. Thank you guys for the performance, I will be a lifetime customer.""/>",Shark Injector Installation Instructions,(click to expand),A capable battery charger is required for the installation. The charger provides backup power supply to the regular car battery during installation. It must be capable of holding a continuous 10amp charge for the full installation (15-20 minutes).The minimum octane fuel for this software is 91.,Shark Injector installation instructions,,,,,,,,,Shark Injector FAQ,(click to expand),https://1c2a8a2161d644d95009-22d26b38e78c173d82b3a9a01c774ffa.ssl.cf1.rackcdn.com/image/instructions/shark-injector-faq.pdf
https://www.turnermotorsport.com/p-338942-r53-mini-cooper-s-shark-injector-performance-software/,R53 Mini Cooper S Shark Injector Performance Software,338942,TMS3466,$279.20,Starting at,The easiest software upgrade in the world!,,,,https://1c2a8a2161d644d95009-22d26b38e78c173d82b3a9a01c774ffa.ssl.cf1.rackcdn.com/image/instructions/mini-shark-injector-instructions.pdf,,,,,,,,,,,,,,,,,,
https://www.turnermotorsport.com/p-557212-shark-injector-v20-performance-software-sport-mode-memory/,E46 M3 Shark Injector V2.0 Performance Software,557212,N4S54MV,$359.20,Starting at,Shark Injector V2.0 Performance Software includes:,"Stock software: 283 whp / 232 wtrqShark Injector V2.0: 301 whp / 243 wtrqPeak gain 18whp and 11wtq(note: the max gain (biggest improvement) is 22whp at 6400 RPM, with 16wtq at 5600 RPM)","The Shark Injector plugs into the diagnostic port inside the E46 cabin. With the battery charger supplying power, press the Upgrade button and within minutes the ECU is reflashed with the new performance tune. No other software product on the market comes close to how easy it is to install. You can use the Restore button to re-install the stock BMW software at any time. Detailed instructions are included. Other tuners require you to remove the ECU and ship it to them or use a laptop to read and write a new file. The Shark Injector is ready to install right out of the box!",E46 BMW,https://www.turnermotorsport.com/p-391751-turner-iat-relocation-harness/,Compatible with 91 octane; 93 recommended,Looking to maximize your power gains? Add a Turner IAT Relocation to combat power-robbing heat soak - the only true plug-and-play solution available. Heat soak is a real plague on consistent power for a stock or tuned vehicle.,2001-2006  M3 (US models only),Sport Mode Memory Function - retains last setting on each startup,Shark Injector FAQ,,,,,,,,,,,,,https://1c2a8a2161d644d95009-22d26b38e78c173d82b3a9a01c774ffa.ssl.cf1.rackcdn.com/image/instructions/obd-shark-injector-instructions.pdf
https://www.turnermotorsport.com/p-338940-e39-m5-shark-injector-sai-tunerperformance-software/,E39 M5 Shark Injector SAI Tuner/Performance Software,338940,TMS5507,$279.20,Starting at,"Unlock LOADS of torque and horsepower in all gears, especially 1st, 2nd, and 3rd Disables SAI fault* Choose between 91 and 93 octane Quicker throttle response in both Sport and non-Sport modes Stock 7000 or Raised 7400 rev limit Top Speed Limiter Removed Performance software is a must-have upgrade on your E39 M5 and you won't find an easier and better software solution than the Shark Injector. Developed by BMW tuning expert Jim Conforti, this device plugs into the car's diagnostic port and flashes new performance files into your car's engine computer (ECU). There's no removal of the ECU and shipping, no cables, no laptop required - only a battery charger! Installation takes just a few minutes and your engine will perform like never before! The M5 performance software was developed on the dyno to create maximum power and torque using premium 91+ octane fuel and revising the torque limiters in the ECU. The software makes changes to the ECU's maps and algorithms for fuel injection, ignition timing, VANOS and camshaft movement, and transitional fueling. We modify the maps for part throttle and full throttle so you get better response and more torque at all RPM. The stock software artificially limits torque output, especially in the first three gears. We raised the torque limiters in all gears so there is more torque available. You will see an immediate difference as soon as you leave your driveway! Choose between a stock 7,000 or raised 7,400 RPM rev limit. The top speed limiter is removed. By fine tuning these maps we've been able to improve the S62 engine beyond what BMW did by making more power and torque and a smoother-running engine. Gains of 23 hp @ 6100 rpm and 19 lb/ft torque @ 5000 rpm!!! We used several E39 M5s on our dyno to establish what the average/typical power numbers are. The dyno charts on the right are from the same car - a 2003 E39 M5 that was already equipped with intakes, mufflers, and running 93 octane. For our Shark Injector dynos we made baseline runs with the stock software and then runs in 3rd gear and 4th gear. The only changes to the car was the Shark Injector software. Why did we post dyno runs in different gears? The 3rd gear run shows the torque gain with the new torque limiters in the software. The 4th gear run is posted to be consistent with the industry-standard of dyno-ing cars in 4th gear. Note: comparing dyno results and wheel horsepower numbers from one shop to another is not advised. What really matters is the gain from stock to modified from the same car on the same dyno. The Shark Injector plugs into the diagnostic port inside the E39 cabin. With the battery charger supplying power, press the Upgrade button and within minutes the ECU is reflashed with the new performance tune. No other software product on the market comes close to how easy it is to install. You can use the Restore button to re-install the stock BMW software at any time. Detailed instructions are included. Other tuners require you to remove the ECU and ship it to them or use a laptop to read and write a new file. The Shark Injector is ready to install right out of the box! A planned future upgrade will allow you to use the USB port to load different performance files. * This Shark Injector will disable the flow output of the Secondary Air Injection system (SAI), an infamous flaw that affects all M5s. This software will prevent fault codes and check engine lights due to blockages of the SAI system due to carbon build-up. One of the causes of SAI faults is when the ECU detects low output from the air pump. The Shark software will no longer monitor the output of the pump, therefore the fault will never occur. This software does not disable the air pump altogether (necessary to preserve your catalytic converters) and does not ""fix"" exisiting SAI performance (you may still need a new air pump). For more information on the M5 SAI system, read our E39 M5 SAI carbon build-up page by clicking here. Read what others are saying! RUFM5: ""The 93 RACE edition Shark has been very solid in my experience. The air/fuel ratios and power are very smooth and optimal. I also have a wideband gauge and OBD computer to monitor car vitals."" britm3: ""Overall, the car feels much sharper in sport and non-sport, the 3rd gear pull really being the highlight for me."" M5CCIE: ""Got my 91 octane version installed today. It is worth it's price and much more in my opinion. The car feels much more ""eager"" and responsive."" Carbon01: ""I did the 91Octane TMS/Conforti Shark update last week. I was going to dyno before and after, but didn't have the patience once it arrived. I can say that there is a noticeable difference in 1st thru 3rd. It seems a little more responsive in the higher gears, but not drastic. Transtion from light throttle to full throttle is greatly improved, general drivability is a little better all around and noticeably nicer in Sport."" gt40mki: ""I'm glad I bought it-worth every penny-and I'd re-buy again in a heartbeat."" Stika: ""Installed the Shark on Friday. I gotta say, the Beast is DEFINITELY quicker. Much stronger on the low end. The drivabilty is much better across the board, at any speed, in any gear. I got the street version with Sport button memory, very nice feature. Don't know what else to add to what has been said already. Worth the purchase to me, I'm very pleased."" Shark Injector Installation Instructions Shark Injector installation instructions A capable battery charger is required for the installation. The charger provides backup power supply to the regular car battery during installation. It must be capable of holding a continuous 10amp charge for the full installation (15-20 minutes). The minimum octane fuel for this software is 91. Shark Injector FAQ This part alters or deletes the emissions equipment on your car. Because of this, we require a waiver of emissions compliance to be signed and either e-mailed or faxed to Turner Motorsport before shipping. You can download the waiver here. This item fits the following BMWs: 1999-2003 E39 BMW M5",,,,,,,,,,,,,,,,,,,,,,
https://www.turnermotorsport.com/p-339086-z3-28-shark-injector-performance-software/,Z3 2.8 Shark Injector Performance Software,339086,TMS1527,$279.20,Starting at,"Performance software is a    upgrade on your BMW and you won't find an easier and better software solution than the Shark Injector. Developed by BMW tuning expert Jim Conforti, this device plugs into the car's diagnostic port and flashes new performance files into your car's engine computer (ECU). There's no removal of the ECU and shipping, no cables, no laptop required - only a battery charger! Installation takes just a few minutes and your engine will perform like never before!   The 2.8 performance software was developed on the dyno to create maximum power and torque using premium 91+ octane fuel while maintaining BMW reliability and smoothness. The software makes changes to the ECU's maps and algorithms for fuel injection, ignition timing, VANOS and camshaft movement, and transitional fueling. We modify the maps for part throttle and full throttle so you get better response and more torque at all RPM. We also raise the rev limit to 7,000 and remove the top speed limiter. By fine tuning these maps we've been able to improve the M52/M52TU engine beyond what BMW did by making more power and torque and a smoother-running engine.   The Shark Injector plugs into the diagnostic port inside the Z3 cabin. With the battery charger supplying power, press the Upgrade button and within minutes the ECU is reflashed with the new performance tune. No other software product on the market comes close to how easy it is to install. You can use the Restore button to re-install the stock BMW software at any time. Detailed instructions are included. Other tuners require you to remove the ECU and ship it to them or use a laptop to read and write a new file. The Shark Injector is ready to install right out of the box! A planned future upgrade will allow you to use the USB port to load different performance files.              1997-2000    Z3 2.8",New Rev Limit,7000 RPM,1999-2000 Z3 2.8 (M52tu engine) Performance Software Peak Gains,,,HP Gain,+ 15 @ 6200 RPM,Torque Gain,+ 12 @ 3500 RPM,New Rev Limit,7000 RPM,Read what others are saying!,(click to expand),"skyblue1: ""Just spoke with a local BMW mech and he agrees that the shark injecor software is the way to go.""",Shark Injector Installation Instructions,A capable battery charger is required for the installation. The charger provides backup power supply to the regular car battery during installation. It must be capable of holding a continuous 10amp charge for the full installation (15-20 minutes).The minimum octane fuel for this software is 91.,,https://1c2a8a2161d644d95009-22d26b38e78c173d82b3a9a01c774ffa.ssl.cf1.rackcdn.com/image/instructions/obd-shark-injector-instructions.pdf,https://1c2a8a2161d644d95009-22d26b38e78c173d82b3a9a01c774ffa.ssl.cf1.rackcdn.com/image/instructions/shark-injector-faq.pdf,This item fits the following BMWs:,Z3 BMW,
https://www.turnermotorsport.com/p-386540-shark-injector-upgrade-from-one-file-to-another/,Shark Injector Upgrade (from One File To Another),386540,SHARK-UPGRADE,$120.00,,- listing of all Shark Injector files by vehicle model. Select a file from this list to upgrade to.,,,,https://1c2a8a2161d644d95009-22d26b38e78c173d82b3a9a01c774ffa.ssl.cf1.rackcdn.com/pages/Shark_Injector_applications.pdf,,,,,,,,,,,,,,,,,,https://1c2a8a2161d644d95009-22d26b38e78c173d82b3a9a01c774ffa.ssl.cf1.rackcdn.com/pages/Instructions/Shark_Upgrade_form.pdf
https://www.turnermotorsport.com/p-338929-mz3-s52-shark-injector-performance-software/,MZ3 (S52) Shark Injector Performance Software,338929,TMS1529,$279.20,Starting at,Unlock torque and horsepower,(click to expand),"Z-Thrizzle: ""The car just feels right after the injector. The car felt good having CAI, M50 [manifold,] and exahaust. Though after installing the shark injecter it was a lot smoother as though it was the last piece of the puzzle.""SunzOut: ""Reduced cold Stumble, better mid/low range pickup.""M Roady: ""Best performance mod I ever made on my S52. Worth more than all other mods combined. It certainly made a huge difference in the mid-range butt dyno tests.""S52coupe: ""Like the others stated above, the car feels like it's much smoother, easier to drive, and you can tell a difference in the way the motor idles as soon as you turn it over. I was very happy with my purchase..""",Shark Injector Installation Instructions,https://1c2a8a2161d644d95009-22d26b38e78c173d82b3a9a01c774ffa.ssl.cf1.rackcdn.com/image/instructions/m20-shark-injector-instructions.pdf,(click to expand),A capable battery charger is required for the installation. The charger provides backup power supply to the regular car battery during installation. It must be capable of holding a continuous 10amp charge for the full installation (15-20 minutes).The minimum octane fuel for this software is 91.,Shark Injector installation instructions,Shark Injector FAQ,(click to expand),1998-2000  Z3 M Roadster M Coupe,Shark Injector FAQ,,,,,,,,,This item fits the following BMWs:,Z3 BMW,https://1c2a8a2161d644d95009-22d26b38e78c173d82b3a9a01c774ffa.ssl.cf1.rackcdn.com/image/instructions/shark-injector-faq.pdf
https://www.turnermotorsport.com/p-340360-e36-m3-shark-injector-stage-3-performance-software-hfmcam-kit/,"E36 M3 Shark Injector Stage 3 Performance Software (HFM/Cam Kit)
  ...",340360,N3TCAM,$279.20,Starting at,"Conforti Shark Injector performance software tuned for our Stage 3 OBD2 package: Schrick camshafts, ""24lb"" injectors, Porsche 3.5"" HFM, and intake. This software is tuned around the . For keeping the most useable torque we recommend using the stock manifold over the M50 part.",A capable battery charger is required for the installation. The charger provides backup power supply to the regular car battery during installation. It must be capable of holding a continuous 10amp charge for the full installation (15-20 minutes).The minimum octane fuel for this software is 91.,(click to expand),Shark Injector Installation Instructions,https://1c2a8a2161d644d95009-22d26b38e78c173d82b3a9a01c774ffa.ssl.cf1.rackcdn.com/image/instructions/shark-injector-faq.pdf,Shark Injector FAQ,1996-1999  M3,,This item fits the following BMWs:,E36 BMW,,,,,,,,,,,,,
