product-img-link href,cleanDesc,part-info,part-info 2,price,short-description,starting-at,short-description 16
https://www.turnermotorsport.com/p-589335-e36-318i-323i-325i-328i-quick-steer-roll-center-correction-kit/,Quick Steer/Roll Center Correction Race Kit - E36 Non M,589335,022961TMS09KT3,$733.95,"Our Roll Center Correction Kit offers you an all in one solution to increase steering responsiveness, handling, and roll center.",,
https://www.turnermotorsport.com/p-589340-quick-steer-roll-center-correction-kit-e46-323i-325i-328i-330i-323ci-325ci-328ci-330ci/,Quick Steer/Roll Center Correction Race Kit - E46 Non-M,589340,022961TMS09KT5,$733.95,"Drastically increase your steering responsiveness, while correcting your suspension geometry and improving handling.",,
https://www.turnermotorsport.com/p-589331-e36-m-quick-steer-roll-center-correction-race-kit/,Quick Steer/Roll Center Correction Race Kit - E36 M3 S50,589331,022961TMS09KT4,$733.95,"Correct your suspension geometry, and increase your steering response and handling characteristics!",,
https://www.turnermotorsport.com/p-588593-e36-drift-steering-angle-kit/,E36 Drift Steering Angle Kit,588593,022961TMS10,$993.90,"Increase your steering angle and responsiveness, while correcting your suspension geometry, for better handling and control! Only for cars lowered with Coilover suspension. Requires E46 Control arms.",Starting at,
https://www.turnermotorsport.com/p-568830-e46-mini-angle-kit/,Mini Angle Kit - E46 Non-M,568830,MAK-E46-DR,$547.00,"This kit replaces your original outer balljoint with a Teflon lined spherical bearing and uses the SLR steering plate to correct roll-center by 28mm while adjusting the bump-steer to match as well as offering the ability to fine-tune both. It will also quicken your steering ratio by 40%* (or 28-30% reduction in lock-to-lock depending on chassis), removing the need for expensive custom quick-steer racks. Can be configured for race, autocross, or drift use via patent-pending SLR adjustable Ackerman system.",Starting at,
https://www.turnermotorsport.com/p-636992-quick-steer-roll-center-correction-kit-e36-318i-323i-325i-328i/,Quick Steer/Roll Center Correction Race Kit,636992,022961TMS011KT3,$733.95,Drastically Improve steering response and handling of your vehicle!,,
https://www.turnermotorsport.com/p-568821-e46-super-length-full-angle-drift-kit-purple-arms/,"Super Length Full Angle Drift Kit w/Violet Purple Arms - E46 Non-M
...",568821,SAK-E46-PK,"$1,149.00","The ability to tune ones steering angle is nothing new. Racecars have been able to do this for quite some time and have used it to adjust to almost any track variation. The increasing popularity of aftermarket suspensions and fully adjust alignment pieces, SLR Speed has come up with a kit that will allow you to achieve the steering angle you need to maximize the tires contact patch. Features: up to 70°+ of steering lock (depending on wheel/tire combination) 40% faster steering ratio Only 3.1 turns lock-to-lock at 60°! 28mm roll-center correction Matching bump-steer correction Four position adjustable Ackerman to suit track and/or driving style Sway bar racket to fit E30/E36 type Swaybar links (can retrofit on E46 also) Legal for all drifting series worldwide (including Formula-D & USA pro-am)",Starting at,
https://www.turnermotorsport.com/p-636994-quick-steerroll-center-correction-race-kit/,Quick Steer/Roll Center Correction Race Kit - E36 M3 S50 (w/ Z3 Stee...,636994,022961TMS012KT4,$733.95,"Not only does our Roll Center Correction Race Kit correct your roll center and improve handling, but it also provides increased steering response and bump steer correction. Thanks to the use of our rack limiters, you can maintain the same steering angle as before, while drastically decreasing steering wheel input. After the kit was installed on our E36 M3 test vehicle equipped with a Z3 2.7 turn lock to lock steering rack, it only required 2 full turns lock to lock. A reduction of 26%! Bump steer is also correctable to virtually 0, thanks to spacers to adjust tie rods up or down. When you lower a car, it drastically changes the geometry of the suspension. While lowering a car makes it handle better by lowering the center of gravity, the roll center is negatively impacted, increasing the roll moment, which causes cornering forces to have more of an effect on the body roll of the vehicle. This is normally ignored because the stiffer lowering springs make the issue less noticeable, but ultimately grip is lost, and body roll is increased. Once the roll center has been corrected it is immediately apparent how much the performance of the vehicle had been suffering prior. By correcting the outer ball joint location with our Roll Center Correction Race Kit, the instantaneous center of rotation is raised, bringing the roll center much closer to the center of gravity, and significantly decreasing roll movement. This minimizes body roll, provides more grip, and ultimately leads to an improved and predictable driving feel. Roll Center can be a rather complex concept. Let’s break it down: On a McPherson front suspension vehicle, both the top of the strut and lower control arm sit at an angle. If you were to draw 2 lines, one from the upper strut mount perpendicular to the steering axis (line through lower ball joint and upper strut mount pivot) and another from the control arm outer and inner ball joint/pivot, Where they intersect is called the instantaneous center of rotation. This is the point about which the suspension is rotating at that instant. Now, noting the vertical center of the car, draw another line from the bottom of the center of the tire contact patch, to the instantaneous center of rotation. Where this line intersects with the vertical center of the car is where your “roll center” is. The distance between the roll center, and the center of gravity is called the “roll moment”. The larger the distance, the larger the body roll. By decreasing the distance between your center of gravity and your roll center, you can decrease the amount of body roll, and decrease suspension geometry change, and ultimately gain better handling. Features: 6061-T6 billet aluminum steering plate All specially designed, melonite coated, class 10.9 hardware Provides roll center correction for lowered cars (coilovers recommended, lowering springs and replacement shocks generally provide too much droop) Provides bump steer correction and adjustment Includes ball joint replacements (e36M 027427TMS01~A, E36/46 NM 022961TMS01~A) Kitted with high-quality FK rod ends",,
https://www.turnermotorsport.com/p-568790-ultra-length-full-angle-drift-kit-violet-purple-arms/,"Ultra Length Full Angle Drift Kit w/Violet Purple Arms - E30 
     ...",568790,UAK-E30-PK,"$1,249.00","The ability to tune ones steering angle is nothing new. Racecars have been able to do this for quite some time and have used it to adjust to almost any track variation. The increasing popularity of aftermarket suspensions and fully adjust alignment pieces, SLR Speed has come up with a kit that will allow you to achieve the steering angle you need to maximize the tires contact patch. Features: up to 70°+ of steering lock (depending on wheel/tire combination) 40% faster steering ratio Only 3.1 turns lock-to-lock at 60°! 28mm roll-center correction Matching bump-steer correction Four position adjustable Ackerman to suit track and/or driving style Sway bar racket to fit E30/E36 type Swaybar links (can retrofit on E46 also) Legal for all drifting series worldwide (including Formula-D & USA pro-am)",Starting at,
https://www.turnermotorsport.com/p-568820-e46-super-length-full-angle-drift-kit-gunmetal-arms/,"Super Length Full Angle Drift Kit w/Gunmetal Arms - E46 Non-M
     ...",568820,SAK-E46-GM,"$1,149.00","The ability to tune ones steering angle is nothing new. Racecars have been able to do this for quite some time and have used it to adjust to almost any track variation. The increasing popularity of aftermarket suspensions and fully adjust alignment pieces, SLR Speed has come up with a kit that will allow you to achieve the steering angle you need to maximize the tires contact patch. Features: up to 70°+ of steering lock (depending on wheel/tire combination) 40% faster steering ratio Only 3.1 turns lock-to-lock at 60°! 28mm roll-center correction Matching bump-steer correction Four position adjustable Ackerman to suit track and/or driving style Sway bar racket to fit E30/E36 type Swaybar links (can retrofit on E46 also) Legal for all drifting series worldwide (including Formula-D & USA pro-am)",Starting at,
https://www.turnermotorsport.com/p-568815-super-length-full-angle-drift-kit-violet-purple-arms/,"Super Length Full Angle Drift Kit w/Violet Purple Arms - E36
      ...",568815,SAK-E36-PK,"$1,149.00","The ability to tune ones steering angle is nothing new. Racecars have been able to do this for quite some time and have used it to adjust to almost any track variation. The increasing popularity of aftermarket suspensions and fully adjust alignment pieces, SLR Speed has come up with a kit that will allow you to achieve the steering angle you need to maximize the tires contact patch. Features: up to 70°+ of steering lock (depending on wheel/tire combination) 40% faster steering ratio Only 3.1 turns lock-to-lock at 60°! 28mm roll-center correction Matching bump-steer correction Four position adjustable Ackerman to suit track and/or driving style Sway bar racket to fit E30/E36 type Swaybar links (can retrofit on E46 also) Legal for all drifting series worldwide (including Formula-D & USA pro-am)",Starting at,
