product-img-link href,cleanDesc,part-info,part-info 2,price,starting-at,wishlist-label href,short-description
https://www.turnermotorsport.com/p-390641-e46-schroth-quick-fit-harnesses/,E46 Schroth Quick Fit Harnesses,390641,SCR16-E46,$245.00,Starting at,https://www.turnermotorsport.com/c-466-bmw-harnesses-harness-accessories#,There are many benefits to installing harnesses in your E46 -
https://www.turnermotorsport.com/p-390796-schroth-racing-2-inch-harness-pads/,Schroth Racing 2 Inch Harness Pads,390796,SR-2IN-PADS,$36.95,Starting at,https://www.turnermotorsport.com/c-466-bmw-harnesses-harness-accessories#,"Cushioned pads that cover the 2"" shoulder belts so they don't dig into your shoulders. These pads simply cover the belts and fasten with a zipper. Available in multiple colors with a ""Schroth Racing"" patch sewn on (flip the pad over if you don't want the logo showing). These can even be used on stock 3-point seatbelts to prevent the belt from rubbing against your neck. Sold as a pair of pads (enough to fit one racing harness)."
https://www.turnermotorsport.com/p-1211233-5-6-point-anti-submarine-bracket/,"PSDesigns 5-6 Point Anti-Submarine Bracket - Raw Stainless
        ...",1211233,ANTI-SUBRAW,$40.99,,https://www.turnermotorsport.com/c-466-bmw-harnesses-harness-accessories#,"Provides a secure anchor location for your 5 or 6 point harness submarine belts without the need to cut the chassis to install eye bolts. For use with Lightweight style Floor Mounts from VAC, Macht Schnell, PSDesigns Made from extremely strong and durable laser cut 4mm thick 304 Stainless Steel. Features: Compatible with all 5-point and 6-point harnesses Includes all required hardware (2 High tensile Eyebolts, 2 High tensile 7/16 UNF nuts, and 2 High tensile M8 flanged button head allen bolts) Bolt-in installation (bracket bolts under the floor mounts for extra safety) One Bracket required per seat/Harness. PSDesigns is an enthusiast based company that specializes in niche performance upgrades. From intake conversions to handling upgrades, they have innovated and tested in real world environments to bring you high performance components."
https://www.turnermotorsport.com/p-390803-e92-coupe-schroth-quick-fit-pro-harnesses/,E92 Coupe Schroth Quick Fit Pro Harnesses,390803,SCR18-E92,$365.00,Starting at,https://www.turnermotorsport.com/c-466-bmw-harnesses-harness-accessories#,There are many benefits to installing harnesses in your E92 -
https://www.turnermotorsport.com/p-552832-ece-approved-4-point-clubman-belt/,Sabelt ECE Approved 4-Point Clubman Belt,552832,SACB2,$168.00,Starting at,https://www.turnermotorsport.com/c-466-bmw-harnesses-harness-accessories#,"Sabelt is a global leader in development and manufacture of original equipment car seats, seat belts, and motorsport products for racing activities. Through advanced and extensive crash test simulation, they are able to offer products that are proven to achieve the highest level of performance and safety."
https://www.turnermotorsport.com/p-552669-fia-approved-4-point-saloon-racing-harness/,Sabelt FIA Approved 4-Point Saloon Racing Harness,552669,SAFIACCS4,$260.00,Starting at,https://www.turnermotorsport.com/c-466-bmw-harnesses-harness-accessories#,"Sabelt FIA approved racing harnesses are designed in a variety of configurations to suit your exact need and vehicle. Found in some of the fastest competition vehicles in the world, you can rest assured that you're being held securely by some of the finest belts available. Made by hand in Italy, quality and consistency are second to none. Whether you choose a four or six point, with aluminum or steel hardware each belt is designed to hold up to the rigors of the racetrack and to perform flawlessly in the event of a collision."
https://www.turnermotorsport.com/p-396281-driver-456-point-lap-belt-mount-kit-for-factory-slider/,Brey-Krause Clip in Harness mount- Driver,396281,R-9289,$88.14,,https://www.turnermotorsport.com/c-466-bmw-harnesses-harness-accessories#,This Mount is bolts to the OE lap belt mount on the driver side to provide a clip in point for clip in style harness's.
https://www.turnermotorsport.com/p-390642-e36-schroth-quick-fit-harnesses/,E36 Schroth Quick Fit Harnesses,390642,SCR16-E36,$245.00,Starting at,https://www.turnermotorsport.com/c-466-bmw-harnesses-harness-accessories#,There are many benefits to installing harnesses in your E36 -
https://www.turnermotorsport.com/p-339005-racing-seat-belt-harness-retaining-guide-collars-pair/,Turner Motorsport Roll Bar Clamps - Pair,339005,TIN9903150,$91.95,Starting at,https://www.turnermotorsport.com/c-466-bmw-harnesses-harness-accessories#,"These little guys are one of our favorite final touches on a race car build. After years of requests, we now are able to supply these for more than just our race team's use. These aluminum collars bolt on your roll cage's harness bar (or any bar for that matter) and help keep your seat belt harnesses from sliding on the bar. You can use just one pair to accomplish this, or 2 pairs (4 collars total) for the best looking and functioning install. The beauty of these collars (besides being lightweight and looking clean) is that they can be adjusted from side to side, which is convenient if you change you seat or belt configuration. They can also be used for other applications as well, such as taming that helmet net strap. If you're looking for a clean, professional looking solution, these are a superb final touch. As used on our own Championship winning TMS E46 and E90 race cars.      for 1.5"" OD roll bar tubing or for 1.75"" OD roll bar tubing (choose your size below). Check your cage tubing diameter especially if your car was built in Europe as they used metric tubing sizes. If you need a metric size, contact us. Also measure with paint applied, not bare tubing. These are sold by the pair, so be sure to modifying your quantity below (or in the cart) if you need them for both seats."
https://www.turnermotorsport.com/p-390807-e36-schroth-quick-fit-pro-harnesses/,E36 Schroth Quick Fit Pro Harnesses,390807,SCR18-E36,$345.00,Starting at,https://www.turnermotorsport.com/c-466-bmw-harnesses-harness-accessories#,There are many benefits to installing harnesses in your E36 -
