product-img-link href,product-img-link src,cleanDesc,brand-image src,part-info,part-info 2,stock-status,price,btn,wishlist-label href,short-description,show,show 2,short-description 2,short-description 3,short-description 4,short-description 5,short-description 6,short-description 7,short-description 8,short-description 9,short-description 10,short-description 11,short-description 13
https://www.turnermotorsport.com/p-641765-19-tekniform-style-006/,https://3a663eb0fef48c6d2d60-a88f8ebfcdb877ad223e888bfcb7f7ec.ssl.cf1.rackcdn.com/1632417_x300.jpg,"19"" Tekniform Style 006 - Staggered Set - Hyper Silver - 19x8.5...",https://c1521972.ssl.cf0.rackcdn.com/img/brands/ECS.gif,641765,006-7KT1,In Stock,$927.01,Add to Cart,https://www.turnermotorsport.com/c-330-bmw-aftermarket-alloy-wheels#,"Tekniform Wheels are ECS Tuning's answer to the call for lightweight, attractive, durable wheels capable of withstanding abuse on the street or track that won't have you smashing your piggy bank to shell out for costly forged wheels. Tekniform wheels are the fit and finish that make your car look the part, sporting engraved billet center caps and brand new wheel designs, that have the durability behind them to look good at a show or perform on the street or track. Tekniform wheels are manufactured utilizing a flow forming process that results in a wheel that is lighter, stronger, has increased elongation and greater shock resistance than a traditional cast wheel. This process is a combination of cast and forged technology, allowing the wheels to retain the same benefits while keeping costs low. Specifications: Size: 19x8.5 et35 and 19x9.5 et43 Center Bore: 72.6mm Bolt Pattern: 5x120 Color: Hyper Silver Weight 8.5""-23lbs/9.5"" -25lbs",Show More,Show Less,,,,,,,,,,,
https://www.turnermotorsport.com/p-376745-18-style-881-wheels-square-set-of-four/,https://3a663eb0fef48c6d2d60-a88f8ebfcdb877ad223e888bfcb7f7ec.ssl.cf1.rackcdn.com/470312_x300.jpg,"Alzor Style 881 Square Wheel Set - Silver - 18x9.5"" ET35
     ...",https://c1521972.ssl.cf0.rackcdn.com/img/brands/Alzor.gif,376745,88112KT,In Stock,$552.46,Add to Cart,https://www.turnermotorsport.com/c-330-bmw-aftermarket-alloy-wheels#,"Looking to improve the look of your BMW but don't want to put a massive hole in your bank account? Alzor wheels are the perfect option! With multiple styles and sizes to choose from, you can dial in the look you want! Alzor wheels are designed to bolt up to your car without any modifications and will work perfectly with any brand of wheel spacers if you are looking for a truly unique look. Specifications: 18""x9.5"" ET35 with 2.75"" lips 5x120 bolt pattern 72.6mm center bore Split spoke mesh design Silver painted finish with 2.75"" machined lips! TPMS compatible Wheel weight of 25.3lbs Alzor wheels are VIA certified to meet JWL technical standards to ensure exceptional quality, performance and safety.",Show More,Show Less,,,,,,,,,,,
https://www.turnermotorsport.com/p-586086-19-tekniform-style-007-set-of-four/,https://3a663eb0fef48c6d2d60-a88f8ebfcdb877ad223e888bfcb7f7ec.ssl.cf1.rackcdn.com/1382081_x300.jpg,"ECS Tekniform Style 007 Square Set - Hyper Silver - 19x8.5"" ET4...",https://c1521972.ssl.cf0.rackcdn.com/img/brands/ECS.gif,586086,007-3KT3,In Stock,$895.80,Add to Cart,https://www.turnermotorsport.com/c-330-bmw-aftermarket-alloy-wheels#,"Tekniform Wheels are ECS Tuning's answer to the call for lightweight, attractive, durable wheels capable of withstanding abuse on the street or track that won't have you smashing your piggy bank to shell out for costly forged wheels. Tekniform wheels are the fit and finish that make your car look the part, sporting engraved billet center caps and brand new wheel designs, that have the durability behind them to look good at a show or perform on the street or track. Tekniform wheels are manufactured utilizing a flow forming process that results in a wheel that is lighter, stronger, has increased elongation and greater shock resistance than a traditional cast wheel. This process is a combination of cast and forged technology, allowing the wheels to retain the same benefits while keeping costs low. Specifications: Size: 19""x8.5"" Offset: 45mm Center Bore: 66.6mm Bolt Pattern: 5x112 Color: Hyper Silver Lug Seat: Ball Seat Weight: 23 lbs. Each",Show More,Show Less,,,,,,,,,,,
https://www.turnermotorsport.com/p-204909-apex-arc-8-19x85-et35-satin-black-wheel-2045lbs/,https://3a663eb0fef48c6d2d60-a88f8ebfcdb877ad223e888bfcb7f7ec.ssl.cf1.rackcdn.com/819165_x300.jpg,"APEX ARC-8 19x8.5"" ET35 Satin Black Wheel 20.45lbs",https://c1521972.ssl.cf0.rackcdn.com/img/brands/APEX%20Wheels.gif,204909,ARC81985ET35SMBK,In Stock,$369.00,Add to Cart,https://www.turnermotorsport.com/c-330-bmw-aftermarket-alloy-wheels#,"19x8.5"" ET35 Satin Black APEX ARC-8 Wheel 20.45lbs.  APEX light alloy wheels are the next evolution in flow-forged wheel technology for BMWs. Flow-forming is a semi-forging process that produces a wheel typically stronger than a traditional cast wheel yet is still light weight. The wheels are around 10lbs lighter per wheel than a comparable factory wheel! That's reduced unsprung weight that improves all aspects of performance. The spokes and barrel have been designed to allow generous clearance for big brakes. In other words, these wheels are very impressively engineered and look great too! The design is based on classic motorsport themes that blend with BMW styling and appearance. These wheels look right at home on many BMW models. Multiple color and profile options allow you to set just the right look and stance for your car. As well as being pleasing to the eye these are very strong and functional wheels that are at home on the street as well as the racetrack. Don't let the price fool you - these wheels are high quality, high strength, and in high demand.   All APEX wheels are the BMW standard 5/120 bolt pattern and with a 72.6mm center bore. They are a direct fit to most any 1-series (E82), 3-series (E36, E46, E90, E92, F30), Z3, and Z4-series BMWs. The original BMW center cap, TPMS sensors, and original lug bolts are all carried over from your original wheels (wheel bolts may vary if spacers are used). They come in a wide variety of diameter, width, and offset combinations which gives you multiple fitment and application opportunities. For street use we generally recommend a staggered setup with a rear wheel slightly wider than the front. For track and racing applications a square setup is desired with the same width in the front and rear. Wheel offsets may also vary based on the clearances and stance you wish to achieve. Refer to our image gallery for inspiration. If you'd like more input give us a call or e-mail and we'd be happy to go over the many options with you.   Note: careful consideration of wheel width, offset and tire sizing must be observed when choosing and installing larger wheels. Adding larger wheels may lead to rubbing on suspension components or bodywork. Wheel spacers, new alignment settings, inside fender modifications, or other adjustments may be required. For more information on APEX BMW wheels and BMW wheel fitments in general,     Price is per wheel.",Show More,Show Less,Wheel Specs,Fitment:,Front or Rear,Size:,"19x8.5""",Offset (mm):,35,Weight (lbs):,20.45,Profile:,check out our APEX Wheels page!
https://www.turnermotorsport.com/p-641769-19-tekniform-style-006-square-set-of-four/,https://3a663eb0fef48c6d2d60-a88f8ebfcdb877ad223e888bfcb7f7ec.ssl.cf1.rackcdn.com/1632595_x300.jpg,"19"" Tekniform Style 006 - Square Set - Matte Gunmetal - 19x8.5&...",https://c1521972.ssl.cf0.rackcdn.com/img/brands/ECS.gif,641769,006-6KT,In Stock,$904.21,Add to Cart,https://www.turnermotorsport.com/c-330-bmw-aftermarket-alloy-wheels#,"Tekniform Wheels are ECS Tuning's answer to the call for lightweight, attractive, durable wheels capable of withstanding abuse on the street or track that won't have you smashing your piggy bank to shell out for costly forged wheels. Tekniform wheels are the fit and finish that make your car look the part, sporting engraved billet center caps and brand new wheel designs, that have the durability behind them to look good at a show or perform on the street or track. Tekniform wheels are manufactured utilizing a flow forming process that results in a wheel that is lighter, stronger, has increased elongation and greater shock resistance than a traditional cast wheel. This process is a combination of cast and forged technology, allowing the wheels to retain the same benefits while keeping costs low. Specifications: Size: 19x8.5 et35 Center Bore: 72.6mm Bolt Pattern: 5x120 Color: Matte Gunmetal Weight 8.5""-23lbs/9.5"" -25lbs",Show More,Show Less,,,,,,,,,,,
https://www.turnermotorsport.com/p-204908-apex-arc8-19x85-et35-hyper-silver-apex-arc-8-wheel-profile-1-2045lbs/,https://3a663eb0fef48c6d2d60-a88f8ebfcdb877ad223e888bfcb7f7ec.ssl.cf1.rackcdn.com/855036_x300.jpg,"APEX ARC8 19x8.5"" ET35 Hyper Silver APEX ARC-8 Wheel - Profile ...",https://c1521972.ssl.cf0.rackcdn.com/img/brands/APEX%20Wheels.gif,204908,ARC81985ET35HS,In Stock,$369.00,Add to Cart,https://www.turnermotorsport.com/c-330-bmw-aftermarket-alloy-wheels#,"19x8.5"" ET35 Silver APEX ARC-8 Wheel 20.45lbs.  APEX light alloy wheels are the next evolution in flow-forged wheel technology for BMWs. Flow-forming is a semi-forging process that produces a wheel typically stronger than a traditional cast wheel yet is still light weight. The wheels are around 10lbs lighter per wheel than a comparable factory wheel! That's reduced unsprung weight that improves all aspects of performance. The spokes and barrel have been designed to allow generous clearance for big brakes. In other words, these wheels are very impressively engineered and look great too! The design is based on classic motorsport themes that blend with BMW styling and appearance. These wheels look right at home on many BMW models. Multiple color and profile options allow you to set just the right look and stance for your car. As well as being pleasing to the eye these are very strong and functional wheels that are at home on the street as well as the racetrack. Don't let the price fool you - these wheels are high quality, high strength, and in high demand.   All APEX wheels are the BMW standard 5/120 bolt pattern and with a 72.6mm center bore. They are a direct fit to most any 1-series (E82), 3-series (E36, E46, E90, E92, F30), Z3, and Z4-series BMWs. The original BMW center cap, TPMS sensors, and original lug bolts are all carried over from your original wheels (wheel bolts may vary if spacers are used). They come in a wide variety of diameter, width, and offset combinations which gives you multiple fitment and application opportunities. For street use we generally recommend a staggered setup with a rear wheel slightly wider than the front. For track and racing applications a square setup is desired with the same width in the front and rear. Wheel offsets may also vary based on the clearances and stance you wish to achieve. Refer to our image gallery for inspiration. If you'd like more input give us a call or e-mail and we'd be happy to go over the many options with you.   Note: careful consideration of wheel width, offset and tire sizing must be observed when choosing and installing larger wheels. Adding larger wheels may lead to rubbing on suspension components or bodywork. Wheel spacers, new alignment settings, inside fender modifications, or other adjustments may be required. For more information on APEX BMW wheels and BMW wheel fitments in general,     Price is per wheel.",Show More,Show Less,Wheel Specs,Fitment:,Front or Rear,Size:,"19x8.5""",Offset (mm):,35,Weight (lbs):,20.45,Profile:,check out our APEX Wheels page!
https://www.turnermotorsport.com/p-180746-apex-ec-7-18x85-et35-satin-black-wheel-2010lbs-profile-1/,https://3a663eb0fef48c6d2d60-a88f8ebfcdb877ad223e888bfcb7f7ec.ssl.cf1.rackcdn.com/805187_x300.jpg,"APEX EC-7 18x8.5"" ET35 Satin Black Wheel 20.10lbs -PROFILE 1
 ...",https://c1521972.ssl.cf0.rackcdn.com/img/brands/APEX%20Wheels.gif,180746,EC71885ET35SMBK,In Stock,$354.00,Add to Cart,https://www.turnermotorsport.com/c-330-bmw-aftermarket-alloy-wheels#,"18x8.5"" ET35 Satin Black APEX EC-7 Wheel 20.10lbs  APEX light alloy wheels are the next evolution in flow-forged wheel technology for BMWs. Flow-forming is a semi-forging process that produces a wheel typically stronger than a traditional cast wheel yet is still light weight. The wheels are around 10lbs lighter per wheel than a comparable factory wheel! That's reduced unsprung weight that improves all aspects of performance. The spokes and barrel have been designed to allow generous clearance for big brakes. In other words, these wheels are very impressively engineered and look great too! The design is based on classic motorsport themes that blend with BMW styling and appearance. These wheels look right at home on many BMW models. Multiple color and profile options allow you to set just the right look and stance for your car. As well as being pleasing to the eye these are very strong and functional wheels that are at home on the street as well as the racetrack. Don't let the price fool you - these wheels are high quality, high strength, and in high demand.   All APEX wheels are the BMW standard 5/120 bolt pattern and with a 72.6mm center bore. They are a direct fit to most any 1-series (E82), 3-series (E36, E46, E90, E92, F30), Z3, and Z4-series BMWs. The original BMW center cap, TPMS sensors, and original lug bolts are all carried over from your original wheels (wheel bolts may vary if spacers are used). They come in a wide variety of diameter, width, and offset combinations which gives you multiple fitment and application opportunities. For street use we generally recommend a staggered setup with a rear wheel slightly wider than the front. For track and racing applications a square setup is desired with the same width in the front and rear. Wheel offsets may also vary based on the clearances and stance you wish to achieve. Refer to our image gallery for inspiration. If you'd like more input give us a call or e-mail and we'd be happy to go over the many options with you.   Note: careful consideration of wheel width, offset and tire sizing must be observed when choosing and installing larger wheels. Adding larger wheels may lead to rubbing on suspension components or bodywork. Wheel spacers, new alignment settings, inside fender modifications, or other adjustments may be required. For more information on APEX BMW wheels and BMW wheel fitments in general,     Price is per wheel.",Show More,Show Less,Wheel Specs,Fitment:,Front or Rear,Size:,"18x8.5""",Offset (mm):,35,Weight (lbs):,20.1,:,"1, minimal dish"
https://www.turnermotorsport.com/p-641764-19-tekniform-style-006/,https://3a663eb0fef48c6d2d60-a88f8ebfcdb877ad223e888bfcb7f7ec.ssl.cf1.rackcdn.com/1632417_x300.jpg,"19"" Tekniform Style 006 - Square Set - Hyper Silver - 19x8.5&qu...",https://c1521972.ssl.cf0.rackcdn.com/img/brands/ECS.gif,641764,006-5KT,In Stock,$904.21,Add to Cart,https://www.turnermotorsport.com/c-330-bmw-aftermarket-alloy-wheels#,"Tekniform Wheels are ECS Tuning's answer to the call for lightweight, attractive, durable wheels capable of withstanding abuse on the street or track that won't have you smashing your piggy bank to shell out for costly forged wheels. Tekniform wheels are the fit and finish that make your car look the part, sporting engraved billet center caps and brand new wheel designs, that have the durability behind them to look good at a show or perform on the street or track. Tekniform wheels are manufactured utilizing a flow forming process that results in a wheel that is lighter, stronger, has increased elongation and greater shock resistance than a traditional cast wheel. This process is a combination of cast and forged technology, allowing the wheels to retain the same benefits while keeping costs low. Specifications: Size: 19x8.5 et35 Center Bore: 72.6mm Bolt Pattern: 5x120 Color: Hyper Silver Weight 8.5""-23lbs/9.5"" -25lbs",Show More,Show Less,,,,,,,,,,,
https://www.turnermotorsport.com/p-641770-19-tekniform-style-006-staggered-set-of-four/,https://3a663eb0fef48c6d2d60-a88f8ebfcdb877ad223e888bfcb7f7ec.ssl.cf1.rackcdn.com/1632595_x300.jpg,"19"" Tekniform Style 006 - Staggered Set - Matte Gunmetal - 19x8...",https://c1521972.ssl.cf0.rackcdn.com/img/brands/ECS.gif,641770,006-6KT1,In Stock,$927.01,Add to Cart,https://www.turnermotorsport.com/c-330-bmw-aftermarket-alloy-wheels#,"Tekniform Wheels are ECS Tuning's answer to the call for lightweight, attractive, durable wheels capable of withstanding abuse on the street or track that won't have you smashing your piggy bank to shell out for costly forged wheels. Tekniform wheels are the fit and finish that make your car look the part, sporting engraved billet center caps and brand new wheel designs, that have the durability behind them to look good at a show or perform on the street or track. Tekniform wheels are manufactured utilizing a flow forming process that results in a wheel that is lighter, stronger, has increased elongation and greater shock resistance than a traditional cast wheel. This process is a combination of cast and forged technology, allowing the wheels to retain the same benefits while keeping costs low. Specifications: Size: 19x8.5 et35 and 19x9.5 et43 Center Bore: 72.6mm Bolt Pattern: 5x120 Color: Matte Gunmetal Weight 8.5""-23lbs/9.5"" -25lbs",Show More,Show Less,,,,,,,,,,,
https://www.turnermotorsport.com/p-1560437-19-sebring-wheels-matte-black-square-set/,,"TSW Sebring Wheels 19x9.5"" ET40 - Matte Black - Square Set
   ...",https://c1521972.ssl.cf0.rackcdn.com/img/brands/TSW%20Alloy%20Wheels.gif,1560437,SEB405120M76KT,In Stock,"$1,320.00",Add to Cart,https://www.turnermotorsport.com/c-330-bmw-aftermarket-alloy-wheels#,,,,,,,,,,,,,,
