web-scraper-order,web-scraper-start-url,catagory,catagory-href,name
1632252830-1287,https://www.officedepot.com/cm/brand/hp,HP Laptops,https://www.officedepot.com/a/browse/hp-laptop-computers/N=5+690296/?cm_sp=brand-_-laptops-online-store-hp-_-hp,"HP EliteBook x360 830 G7 13.3"" Touchscreen 2 in 1 Notebook - Full HD - 1920 x 10..."
1632251324-126,https://www.officedepot.com/cm/brand/hp,HP Monitors,https://www.officedepot.com/a/browse/hp-monitors/N=5+894047/?cm_sp=brand-_-all-monitors-online-store-hp-_-hp,"HP Business Z24i G2 24"" WUXGA LED LCD Monitor - 16:10 - 1900 x 1200 - 300 Nit - ..."
1632252777-820,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP OMEN Obelisk 875-0000 875-0160 Gaming Desktop Computer - Intel Core i7 9th Ge...0.0 out of 5 stars.
1632252777-821,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP EliteDesk 800 G6 Desktop Computer - Intel Core i5 10th Gen i5-10500T Hexa-cor...0.0 out of 5 stars.
1632251324-123,https://www.officedepot.com/cm/brand/hp,HP Monitors,https://www.officedepot.com/a/browse/hp-monitors/N=5+894047/?cm_sp=brand-_-all-monitors-online-store-hp-_-hp,"HP E22 G4 21.5"" Full HD LCD Monitor - 16:9 - 22"" Class - In-plane Switching (IPS..."
1632252777-880,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,"HP 4300-SFF Refurbished Desktop, Intel® Core™ i5, 8GB Memory, 256GB Solid State ..."
1632252777-782,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,"HP Compaq Elite 8300 Refurbished Desktop PC, Intel® Core™ i5, 4GB Memory, 500GB ..."
1632252777-1074,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP Z1 G5 Workstation - Intel Core i3 i3-9100 9th Gen - 4 GB DDR4 SDRAM RAM - 256...0.0 out of 5 stars.
1632252777-1170,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP Z2 Mini G4 Workstation - 1 x Core i7 i7-9700 - 16 GB RAM - 256 GB SSD - Mini ...0.0 out of 5 stars.
1632251324-165,https://www.officedepot.com/cm/brand/hp,HP Monitors,https://www.officedepot.com/a/browse/hp-monitors/N=5+894047/?cm_sp=brand-_-all-monitors-online-store-hp-_-hp,"HP Business E243d 23.8"" Full HD LED LCD Monitor - 16:9 - 1920 x 1080 - 250 Nit -..."
1632252777-914,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP Business Desktop ProDesk 400 G7 Desktop Computer - Intel Core i5 10th Gen i5-...
1632252830-1263,https://www.officedepot.com/cm/brand/hp,HP Laptops,https://www.officedepot.com/a/browse/hp-laptop-computers/N=5+690296/?cm_sp=brand-_-laptops-online-store-hp-_-hp,"HP 15-dy1042cl Refurbished Laptop, 15.6"" Screen, Intel® Core™ i3, 8GB Memory, 25..."
