web-scraper-order,web-scraper-start-url,category,category-href,name
1632295604-1231,https://www.officedepot.com/a/browse/printers-and-accessories/N=5+1462036/,Printer deals,https://www.officedepot.com/a/browse/printers-and-accessories/N=5+1462036&cbxRefine=549384&viewAllSkus=true/?cm_sp=technology-_-printers_printer-deals_-_-category_printers-and-accessories--1462036-2020_main_0_4_0&promo_name=technology&promo_id=technology-printers-printer-deals&promo_creative=printers_printer-deals&promo_position=category_printers-and-accessories--1462036-2020_main_0_4_0,Seiko Label Tray - Label
1632297597-3788,https://www.officedepot.com/a/browse/printers-and-accessories/N=5+1462036/,Office printers,https://www.officedepot.com/a/browse/printers-and-accessories/N=5+1462036&cbxRefine=1482851&cbxRefine=1482850&viewAllSkus=true/?cm_sp=technology-_-printers-accessories_office-printers_-_-category_printers-and-accessories--1462036-2020_main_0_2_0&promo_name=technology&promo_id=technology-printers-accessories-office-printers&promo_creative=printers-accessories_office-printers&promo_position=category_printers-and-accessories--1462036-2020_main_0_2_0,Canon® imageCLASS® MF267dw Wireless Monochrome (Black And White) Laser All-In-On...
1632297597-3937,https://www.officedepot.com/a/browse/printers-and-accessories/N=5+1462036/,Office printers,https://www.officedepot.com/a/browse/printers-and-accessories/N=5+1462036&cbxRefine=1482851&cbxRefine=1482850&viewAllSkus=true/?cm_sp=technology-_-printers-accessories_office-printers_-_-category_printers-and-accessories--1462036-2020_main_0_2_0&promo_name=technology&promo_id=technology-printers-accessories-office-printers&promo_creative=printers-accessories_office-printers&promo_position=category_printers-and-accessories--1462036-2020_main_0_2_0,"Canon® PIXMA™ TR4520 Wireless InkJet All-In-One Color Printer, White"
1632297597-3786,https://www.officedepot.com/a/browse/printers-and-accessories/N=5+1462036/,Office printers,https://www.officedepot.com/a/browse/printers-and-accessories/N=5+1462036&cbxRefine=1482851&cbxRefine=1482850&viewAllSkus=true/?cm_sp=technology-_-printers-accessories_office-printers_-_-category_printers-and-accessories--1462036-2020_main_0_2_0&promo_name=technology&promo_id=technology-printers-accessories-office-printers&promo_creative=printers-accessories_office-printers&promo_position=category_printers-and-accessories--1462036-2020_main_0_2_0,Canon® imageCLASS® D1620 Wireless Monochrome (Black And White) Laser All-In-One ...
1632297825-4330,https://www.officedepot.com/a/browse/printers-and-accessories/N=5+1462036/,Home printers,https://www.officedepot.com/a/browse/printers-and-accessories/N=5+1462036&cbxRefine=967504&viewAllSkus=true/?cm_sp=technology-_-printers-accessories_home-printers_-_-category_printers-and-accessories--1462036-2020_main_0_1_0&promo_name=technology&promo_id=technology-printers-accessories-home-printers&promo_creative=printers-accessories_home-printers&promo_position=category_printers-and-accessories--1462036-2020_main_0_1_0,Brother® MFC-L2710DW Wireless Monochrome (Black And White) Laser All-In-One Prin...
1632297597-3958,https://www.officedepot.com/a/browse/printers-and-accessories/N=5+1462036/,Office printers,https://www.officedepot.com/a/browse/printers-and-accessories/N=5+1462036&cbxRefine=1482851&cbxRefine=1482850&viewAllSkus=true/?cm_sp=technology-_-printers-accessories_office-printers_-_-category_printers-and-accessories--1462036-2020_main_0_2_0&promo_name=technology&promo_id=technology-printers-accessories-office-printers&promo_creative=printers-accessories_office-printers&promo_position=category_printers-and-accessories--1462036-2020_main_0_2_0,HP LaserJet Enterprise Flow MFP M528z Monochrome (Black And White) Laser Printer
1632295604-1210,https://www.officedepot.com/a/browse/printers-and-accessories/N=5+1462036/,Printer deals,https://www.officedepot.com/a/browse/printers-and-accessories/N=5+1462036&cbxRefine=549384&viewAllSkus=true/?cm_sp=technology-_-printers_printer-deals_-_-category_printers-and-accessories--1462036-2020_main_0_4_0&promo_name=technology&promo_id=technology-printers-printer-deals&promo_creative=printers_printer-deals&promo_position=category_printers-and-accessories--1462036-2020_main_0_4_0,HP Neverstop MFP 1202w Wireless Laser All-In-One Monochrome Refillable Tank Prin...
1632297597-3759,https://www.officedepot.com/a/browse/printers-and-accessories/N=5+1462036/,Office printers,https://www.officedepot.com/a/browse/printers-and-accessories/N=5+1462036&cbxRefine=1482851&cbxRefine=1482850&viewAllSkus=true/?cm_sp=technology-_-printers-accessories_office-printers_-_-category_printers-and-accessories--1462036-2020_main_0_2_0&promo_name=technology&promo_id=technology-printers-accessories-office-printers&promo_creative=printers-accessories_office-printers&promo_position=category_printers-and-accessories--1462036-2020_main_0_2_0,HP LaserJet Pro M404n Monochrome (Black And White) Laser Printer
1632297597-3804,https://www.officedepot.com/a/browse/printers-and-accessories/N=5+1462036/,Office printers,https://www.officedepot.com/a/browse/printers-and-accessories/N=5+1462036&cbxRefine=1482851&cbxRefine=1482850&viewAllSkus=true/?cm_sp=technology-_-printers-accessories_office-printers_-_-category_printers-and-accessories--1462036-2020_main_0_2_0&promo_name=technology&promo_id=technology-printers-accessories-office-printers&promo_creative=printers-accessories_office-printers&promo_position=category_printers-and-accessories--1462036-2020_main_0_2_0,Canon® Phone L100 Monochrome (Black And White) Laser All-In-One Printer
1632297597-3810,https://www.officedepot.com/a/browse/printers-and-accessories/N=5+1462036/,Office printers,https://www.officedepot.com/a/browse/printers-and-accessories/N=5+1462036&cbxRefine=1482851&cbxRefine=1482850&viewAllSkus=true/?cm_sp=technology-_-printers-accessories_office-printers_-_-category_printers-and-accessories--1462036-2020_main_0_2_0&promo_name=technology&promo_id=technology-printers-accessories-office-printers&promo_creative=printers-accessories_office-printers&promo_position=category_printers-and-accessories--1462036-2020_main_0_2_0,Brother® Business HL-L8360CDW Color Laser Printer
