web-scraper-order,web-scraper-start-url,cat,cat-href,name,name2
"1632383794-4102","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Cell Phone Batteries","https://www.officedepot.com/a/browse/cell-phone-batteries/N=5+509479/","Cell Phone Batteries","Amscan Graduation Tinsel Burst Centerpieces, 18"" x 10"", Multicolor, Pack Of 2 Ce..."
"1632383782-4095","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Cordless Phone Batteries","https://www.officedepot.com/a/browse/cordless-phone-batteries/N=5+509480/","Cordless Phone Batteries","Lenmar CLZ577SG Cell Phone Battery"
"1632383794-4101","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Cell Phone Batteries","https://www.officedepot.com/a/browse/cell-phone-batteries/N=5+509479/","Cell Phone Batteries","Jasco Cordless Phone Battery - For Cordless Phone - Battery Rechargeable - Propr..."
"1632383819-4129","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Camera Batteries","https://www.officedepot.com/a/browse/camera-batteries/N=5+509478/","Camera Batteries","Duracell Ultra AAAA Battery - For Camera, MiniDisc Player, Toy, Portable Compute..."
"1632383759-4087","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Two-Way Radio Batteries","https://www.officedepot.com/a/browse/two-way-radio-batteries/N=5+509484/","Two-Way Radio Batteries","Motorola 1532 High-Capacity Battery Pack - For Two-way Radio - Battery Rechargea..."
"1632383794-4105","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Cell Phone Batteries","https://www.officedepot.com/a/browse/cell-phone-batteries/N=5+509479/","Cell Phone Batteries","Moshi IonBank 10K Portable Battery with Built-in Cables, Lightning and USB, Ultr..."
"1632383819-4131","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Camera Batteries","https://www.officedepot.com/a/browse/camera-batteries/N=5+509478/","Camera Batteries","Energizer® Photo Ultimate AA Lithium Batteries, Pack Of 12"
"1632383819-4119","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Camera Batteries","https://www.officedepot.com/a/browse/camera-batteries/N=5+509478/","Camera Batteries","Energizer® Photo Ultimate AAA Lithium Batteries, Pack Of 4"
"1632383819-4117","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Camera Batteries","https://www.officedepot.com/a/browse/camera-batteries/N=5+509478/","Camera Batteries","Duracell Security Alkaline 12V Photo N Battery - MN9100 - For Camera - N - 1.5 V..."
"1632383759-4086","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Two-Way Radio Batteries","https://www.officedepot.com/a/browse/two-way-radio-batteries/N=5+509484/","Two-Way Radio Batteries","Midland AVP17 - Battery 2 x - NiMH - 700 mAh - for X-TALKER T290VP4, T295VP4"
